Frame     Decode Time (ms)    Encode Time (ms)    Transcode Time (ms) 
1         26.3782             15.9040             42.3258             
2         16.0476             10.1444             52.5352             
3         16.2652             7.6511              66.1947             
4         16.1250             7.8767              82.4411             
5         16.8741             12.6876             104.0240            
6         18.7557             13.8794             123.8715            
7         6.7627              11.8015             135.6093            
8         7.4330              12.0901             131.1746            
9         6.4184              12.6884             143.7298            
10        6.5244              9.7823              153.4188            
11        6.3251              12.5808             171.8038            
12        6.6107              12.5394             184.2349            
13        5.1223              11.7095             185.5986            
14        6.8939              9.6847              185.3070            
15        6.0995              10.5172             173.2237            
16        14.9560             12.4408             181.3574            
17        8.4518              11.5065             170.3740            
18        7.8984              11.7094             166.7888            
19        14.6653             10.8272             157.3027            
20        7.9316              7.8602              149.9293            
21        8.2407              7.6101              136.8776            
22        6.8472              9.2513              143.0238            
23        14.0509             8.5384              139.0332            
24        7.1616              7.2829              108.0532            
25        7.6772              10.4051             93.9995             
26        14.1633             14.2108             108.0485            
27        7.4053              11.8127             107.9900            
28        7.2431              7.8092              98.1678             
29        7.5629              9.8950              73.1533             
30        8.1104              7.4186              56.3820             
31        6.5358              11.0397             67.2540             
32        7.6901              9.4768              73.0915             
33        7.1688              7.8238              63.9111             
34        7.7090              9.7360              56.4136             
35        7.8207              7.9819              46.9224             
36        8.2641              10.2807             42.1500             
37        6.5938              10.1339             32.5400             
38        8.1383              8.2792              23.1509             
39        7.5291              7.4509              20.7178             
40        6.7629              7.5431              14.3545             
41        8.6390              14.4754             23.1521             
42        6.8140              10.9665             27.7461             
43        8.0778              8.1600              26.5687             
44        8.2314              10.6778             24.3645             
45        7.6025              9.3612              16.9945             
46        6.7091              7.5414              19.3524             
47        6.8132              7.2915              14.1372             
48        6.5999              7.6761              14.3072             
49        6.0294              7.7028              13.7610             
50        6.6805              7.4278              14.1726             
51        8.0662              11.9785             20.0740             
52        6.7310              8.8666              18.9561             
53        6.2104              7.6803              19.0260             
54        6.8320              8.0171              14.8818             
55        6.9288              7.3691              14.3279             
56        6.7515              9.7869              16.5675             
57        6.3845              10.0617             23.9829             
58        7.6340              11.2062             18.8699             
59        8.4549              11.0638             19.5461             
60        8.6325              7.6111              17.2649             
61        10.1210             11.0667             21.2376             
62        7.0518              10.8753             20.1179             
63        7.0536              11.0204             18.1005             
64        7.0589              7.9030              15.9284             
65        6.3868              11.2823             17.6971             
66        7.2345              10.0629             25.1543             
67        7.8500              7.8503              20.0812             
68        6.8587              7.4625              14.3529             
69        6.9731              7.2605              14.2640             
70        6.8749              12.2631             19.1805             
71        6.8942              12.2457             28.9915             
72        8.3250              10.5403             37.7750             
73        8.0109              7.7506              28.3569             
74        7.7142              7.1930              22.9870             
75        6.5268              10.3122             16.8680             
76        6.6062              7.4780              15.1084             
77        6.8084              10.3926             17.2278             
78        7.0977              7.3537              19.2696             
79        6.5872              10.0511             16.6711             
80        7.9341              7.7127              21.7146             
81        6.7129              7.3544              14.1033             
82        6.7267              9.1656              15.9188             
83        6.4111              7.4751              15.8026             
84        6.3636              7.7748              14.1688             
85        7.7949              12.3527             20.1805             
86        6.6533              8.1796              25.2336             
87        7.9490              7.5536              22.0152             
88        6.7333              7.7733              14.5529             
89        6.4517              9.6816              16.1607             
90        7.7631              9.3234              25.1124             
91        6.6879              10.1158             16.8821             
92        8.8026              7.8877              16.7169             
93        6.4117              10.5850             17.0253             
94        6.9444              8.0381              15.0121             
95        6.2775              7.8469              14.1587             
96        6.0556              11.0303             17.1150             
97        7.3038              7.5446              16.8558             
98        7.2930              11.6157             18.9559             
99        6.8302              9.3430              18.4007             
100       7.9340              7.9239              15.8934             
101       7.2368              7.7151              14.9798             
102       6.8976              15.3144             22.2557             
103       7.4981              8.2182              30.2205             
104       7.5737              11.2553             26.8544             
105       7.1980              7.7543              17.1630             
106       6.3837              10.7741             17.1870             
107       7.8102              8.4576              16.2912             
108       6.5581              7.8351              14.4425             
109       8.5306              13.2076             21.7674             
110       7.2922              12.6217             22.4503             
111       6.5370              7.6988              27.8086             
112       6.2031              9.5298              29.8378             
113       9.0508              7.8004              16.8830             
114       6.7044              11.8627             18.5984             
115       6.1654              8.7852              24.7689             
116       7.7180              10.6884             28.1456             
117       7.2641              8.0761              15.3686             
118       6.5454              9.8467              16.4429             
119       7.1242              9.4239              16.5769             
120       6.0681              7.6947              16.7010             
121       6.7353              7.4664              14.2297             
122       6.4065              7.6466              14.0823             
123       5.8978              7.7366              13.6956             
