Frame     Decode Time (ms)    Encode Time (ms)    Transcode Time (ms) 
1         27.4247             16.8753             44.3559             
2         17.0273             9.8888              54.3139             
3         17.1440             7.7504              69.2006             
4         16.7973             12.9156             91.0591             
5         20.3556             8.2814              106.6669            
6         17.0546             11.7611             127.1046            
7         5.8577              10.6335             137.6972            
8         8.1356              13.7095             143.4652            
9         8.6344              13.4138             156.7372            
10        6.7083              12.5338             169.1285            
11        7.5971              10.3271             179.1994            
12        6.3793              14.8240             198.2260            
13        6.1572              10.8292             209.0278            
14        6.0998              13.9059             228.7174            
15        6.9830              10.7110             239.2173            
16        6.1048              12.3379             245.4053            
17        15.8236             11.2767             237.3924            
18        7.8187              12.9635             238.4616            
19        8.0471              11.4529             229.5536            
20        14.5694             13.6563             239.0679            
21        7.7737              11.7122             235.7922            
22        7.1128              11.9685             242.2836            
23        14.7711             8.9009              219.7888            
24        7.5073              7.5360              218.6013            
25        7.2716              7.6786              213.9695            
26        14.5601             12.5473             199.0058            
27        7.6781              11.3343             199.4485            
28        7.8957              12.4270             197.8647            
29        16.7888             10.7539             193.5620            
30        7.7600              12.2526             185.6201            
31        8.3201              7.9501              168.9328            
32        14.6791             7.5956              147.9639            
33        7.5647              9.4833              148.4534            
34        6.8127              12.9961             94.3149             
35        8.6066              7.4169              99.1218             
36        7.9356              7.5770              106.4918            
37        7.5068              7.6074              113.9432            
38        7.4564              7.4235              121.1874            
39        7.8239              7.5046              120.9173            
40        8.1774              7.1407              96.4305             
41        10.8106             9.8862              73.5872             
42        7.9009              12.0802             75.6448             
43        7.3926              12.5026             27.5798             
44        8.0789              13.4900             40.9004             
45        6.8736              14.2379             54.9578             
46        7.9013              9.2076              63.9900             
47        8.0585              7.8520              70.8684             
48        7.5136              7.6327              66.1369             
49        6.8348              14.1566             53.0159             
50        6.9149              11.9263             54.2969             
51        11.0244             8.5418              34.3796             
52        6.8627              10.8666             35.3176             
53        7.4968              8.2626              32.3737             
54        9.3169              9.7862              27.2994             
55        10.2551             7.6638              17.9514             
56        6.9847              9.9810              16.9988             
57        7.5270              9.8037              17.3592             
58        7.0486              7.7848              14.8665             
59        6.8882              7.4514              14.3709             
60        6.7368              7.5193              14.2908             
61        11.0391             12.6789             23.7496             
62        7.2169              15.8756             39.1848             
63        8.0538              12.6775             51.6301             
64        7.1909              13.7442             65.1670             
65        7.2647              11.7912             76.7372             
66        7.4835              11.8220             88.3499             
67        7.6274              12.8868             101.0188            
68        9.6805              12.3553             113.1952            
69        7.7652              14.4160             66.0496             
70        7.6952              8.8441              74.5916             
71        7.9597              8.0794              82.4332             
72        7.2103              10.5815             92.8139             
73        8.0665              10.8105             87.2259             
74        6.9520              7.8092              92.3923             
75        7.5139              7.5847              77.2002             
76        6.3280              9.9497              78.4617             
77        7.5672              11.6748             80.3522             
78        7.5897              10.3369             70.2046             
79        7.7275              7.3426              65.2034             
80        8.2350              11.2701             46.4784             
81        8.2003              8.8874              47.6883             
82        7.1682              9.9516              50.2994             
83        8.4629              10.4760             38.3439             
84        8.0675              12.1712             35.5340             
85        9.4075              8.9540              24.4323             
86        6.6573              9.7332              21.6371             
87        8.6151              7.4494              16.0986             
88        6.9403              12.8665             19.8373             
89        8.1191              9.8303              17.9821             
90        8.6801              7.8123              16.5225             
91        6.5309              11.4716             18.8728             
92        7.3535              7.4329              16.3335             
93        6.4412              10.9323             17.4036             
94        7.4256              11.1822             22.4103             
95        7.4265              10.0516             17.5035             
96        7.3530              7.6133              14.9991             
97        7.0539              7.5148              14.5989             
98        7.4230              13.5973             21.0510             
99        6.3777              13.1422             34.0432             
100       7.8092              13.3962             47.2849             
101       7.6555              9.7227              56.7304             
102       7.7975              7.9872              64.4867             
103       7.6039              8.3274              48.9656             
104       7.1874              7.7171              42.1662             
105       7.6472              12.6914             20.3950             
106       6.9311              15.5292             35.7750             
107       8.3235              13.5802             48.8534             
108       7.1003              17.6833             66.3467             
109       9.2153              8.1735              74.0812             
110       5.9240              7.9496              73.3612             
111       8.9118              8.2215              65.8231             
112       6.6607              7.8329              57.9787             
113       6.6971              13.0160             59.3139             
114       7.3288              8.8884              20.0443             
115       7.2541              7.6055              24.8752             
116       6.7779              13.9645             20.7734             
117       6.4138              12.8323             30.9700             
118       7.8810              11.4281             42.2137             
119       6.9889              14.8354             56.9058             
120       7.4385              8.7334              59.4892             
121       8.1859              7.3625              36.1076             
122       6.9601              10.9115             39.0075             
123       6.7174              13.5775             45.5912             
124       8.2492              9.5681              27.7547             
125       7.8352              8.5643              26.2233             
126       7.4295              7.3379              21.2798             
127       7.0940              7.6274              14.7533             
128       7.5054              10.9195             18.4547             
129       7.7501              9.9711              20.9624             
130       7.3268              7.5773              14.9368             
131       6.9697              11.0605             18.0861             
132       7.4456              8.0136              15.4888             
133       6.9192              8.2719              15.2208             
134       6.7448              18.0612             24.8330             
135       7.5581              14.9481             39.6233             
136       7.3878              8.3832              47.8453             
137       7.4946              10.1899             37.2030             
138       8.9077              11.2795             38.2887             
139       8.1245              13.6333             29.0613             
140       7.2652              8.0765              24.9719             
141       7.1226              7.8824              22.8941             
142       6.5891              11.2139             17.8357             
143       7.4505              8.0514              18.5174             
144       6.5287              13.6597             20.2411             
145       7.9185              8.5294              21.2619             
146       6.4727              7.3587              21.1136             
147       6.8072              9.9287              16.7885             
148       7.0990              7.4245              16.7793             
149       5.8500              10.1024             15.9856             
150       9.0596              7.9109              17.0010             
151       5.9375              7.6952              13.6854             
152       5.6124              10.2200             15.8615             
153       8.5290              11.3566             19.9131             
154       8.6552              7.8461              16.5477             
155       5.8103              10.6588             16.4975             
156       6.4664              7.5690              19.0793             
157       8.1672              10.8521             19.0501             
158       7.2207              8.8520              23.0465             
159       7.1775              8.0062              18.6708             
160       7.5161              16.6436             24.1903             
161       6.7035              13.3629             34.8308             
162       6.4560              7.8052              42.5031             
163       7.2944              7.6259              35.7465             
164       7.4372              10.2798             33.5649             
165       5.9703              11.4438             20.0724             
166       7.8630              11.1441             21.1338             
167       7.0320              7.5907              18.6337             
168       6.5792              10.3550             16.9677             
169       7.8759              12.0934             19.9950             
170       8.1087              7.6955              15.8383             
171       6.1550              10.1463             16.3296             
172       6.2485              9.9020              18.8041             
173       7.0271              8.0792              16.9250             
174       5.6929              9.9869              15.7103             
175       7.4951              7.9681              15.4946             
176       6.7245              11.1739             17.9293             
177       7.0940              8.1821              21.0338             
178       6.0048              11.6308             17.6680             
179       7.8344              9.8327              17.6967             
180       7.6979              7.9002              15.6284             
181       8.0145              12.5723             20.6179             
182       7.0734              13.4202             31.2393             
183       8.0459              12.2409             43.3144             
184       7.0120              8.5974              51.7779             
185       7.6770              10.7392             62.3609             
186       10.1459             11.5195             73.6780             
187       9.0268              12.0351             28.2577             
188       10.4498             7.8776              35.3713             
189       8.0156              7.2820              39.5251             
190       6.0411              16.6101             22.6812             
191       7.8917              9.1851              29.5289             
192       11.3610             7.6155              36.8073             
193       7.2994              12.8676             20.1967             
194       7.5766              9.5499              29.4816             
195       8.7776              18.6233             47.6691             
196       9.3152              13.6802             61.1480             
197       7.5667              11.2547             71.9556             
198       8.0836              12.8114             84.5012             
199       7.1283              14.5035             98.8288             
200       7.2285              7.9344              94.5216             
