Frame     Decode Time (ms)    Transcode Time (ms) Encode Time (ms)    Total Time (ms)     
140       2.1080              5.0624              18.8646             26.1289             
142       1.2107              5.0536              8.5938              14.9437             
143       1.2112              5.0583              7.7889              14.1289             
145       3.0975              5.1657              12.5760             26.6838             
146       1.5700              5.0523              17.6213             24.3371             
148       2.1999              2.8090              6.6204              11.7067             
149       1.9898              2.8131              6.7193              11.6074             
151       1.6334              2.8113              7.9321              12.4527             
152       1.8827              2.8091              5.5455              10.3186             
153       1.9281              2.7833              8.4101              13.2053             
155       1.9480              2.7874              6.1705              11.0037             
157       1.9953              2.8180              9.6581              14.5503             
158       1.9431              2.8149              7.4280              12.2666             
160       1.4202              3.8003              14.5008             19.8027             
161       2.5121              3.5248              13.6723             33.4667             
162       3.7396              10.6755             7.8820              22.5945             
163       5.7774              6.1565              5.8637              28.3821             
164       1.2479              2.7926              7.3737              11.4922             
165       1.6637              3.5152              25.1718             30.4242             
167       2.1416              4.7538              14.7068             45.1246             
168       1.1612              2.8215              6.7566              10.8175             
169       1.9056              4.1026              18.8136             24.9323             
170       3.0619              3.9856              8.1170              33.0302             
171       1.2993              2.8196              7.4930              11.6885             
172       1.2772              4.0375              8.9457              14.3607             
173       3.1089              5.7329              17.0173             31.3514             
174       0.8976              2.8302              4.8179              8.6171              
175       1.1398              3.8343              15.5320             20.5850             
177       2.7416              4.1065              7.1822              27.7576             
178       1.6054              2.8237              7.1297              11.6423             
179       1.2396              2.8165              7.2094              11.3695             
180       1.6633              2.8072              5.5715              10.1183             
182       1.9879              3.4599              19.3310             24.8487             
184       2.1463              4.6606              7.1099              31.9611             
185       1.7353              3.5340              6.7787              12.1353             
187       2.3129              3.9171              7.8738              20.0052             
188       0.7588              2.8078              7.1065              10.7464             
189       2.3367              5.0599              7.9698              15.4708             
190       1.5416              5.0548              15.2192             21.9022             
191       2.8869              5.0185              23.1392             45.0039             
193       2.1447              5.0863              11.6814             18.9906             
194       3.4029              4.8744              7.4443              16.4618             
196       3.6896              5.0058              9.5829              25.9723             
197       2.6605              3.4997              13.6945             39.6461             
198       0.9645              3.6915              9.0403              13.8008             
199       2.4255              3.8848              14.5828             28.3556             
200       1.6358              2.8260              6.3130              10.8610             
202       2.6978              5.1060              6.1934              19.2443             
203       2.2930              5.0348              5.7283              13.1636             
205       2.7805              3.1122              7.3832              13.3992             
206       2.0430              2.8608              7.1702              12.1586             
208       1.0547              3.7509              23.6979             28.6026             
209       2.5522              4.7081              5.2638              33.8166             
210       0.9603              5.1232              7.0370              13.1955             
211       3.1303              5.0807              7.7452              16.0749             
212       2.4487              4.8711              29.5210             37.3305             
225       3.1751              4.5907              18.6563             55.9473             
226       3.8005              11.8002             15.7109             71.5914             
227       7.2361              10.4136             8.9141              80.2531             
228       15.8821             5.8158              14.7361             54.7937             
229       1.5532              2.7976              11.1630             15.5850             
231       2.0898              3.8554              16.5879             22.6115             
241       2.7740              3.6100              14.7237             37.3001             
242       2.5293              5.0550              8.5221              16.2124             
243       2.9517              5.0200              23.1439             39.2951             
244       3.0594              4.9867              12.7016             51.9312             
245       1.8748              2.7759              8.1335              12.8879             
246       2.1090              4.1935              7.5200              13.8996             
247       1.9949              3.7128              7.1364              12.9515             
249       3.0403              3.0676              7.0489              19.9787             
250       2.2257              2.8072              8.5573              13.6800             
251       1.7438              2.8431              7.3681              12.0308             
252       1.8596              2.8203              9.1238              13.8841             
253       2.9738              3.1742              18.3666             24.7494             
255       2.2544              4.9632              13.0313             20.8729             
257       4.4460              5.0215              8.0354              28.9045             
258       1.8060              2.8297              10.6899             15.4074             
260       2.0123              5.0278              6.7409              13.8617             
261       2.0950              7.0336              23.7390             32.9568             
263       2.0895              5.0506              9.4292              42.3500             
264       3.7178              8.8685              17.6896             60.0158             
265       1.7308              5.7807              10.2972             17.8883             
267       2.2813              5.0211              15.0781             32.9429             
268       1.6599              5.0464              13.3092             20.0902             
269       1.2741              5.0428              6.3636              12.7590             
270       1.7343              5.0664              11.7547             18.7486             
272       3.2779              5.2591              19.2616             37.9147             
273       2.5359              4.9682              15.5747             53.4436             
274       2.3718              5.0308              9.4075              62.8506             
275       1.1622              3.5014              8.5499              13.2884             
276       3.4658              4.2185              7.0536              20.3120             
277       1.1603              3.7514              7.5232              14.7906             
279       1.8723              2.7919              6.8017              11.5528             
281       2.5851              3.8331              19.6410             26.1461             
282       2.7894              4.3678              6.9155              33.0440             
299       1.8576              2.8164              11.0593             16.7015             
300       1.3796              2.8200              7.7398              12.0111             
301       1.7570              3.8904              11.9003             17.6272             
303       2.6721              5.5718              15.9961             33.6094             
