Frame        Inference_Time_ms    Objects_Detected
317                      15.31                  24
318                      15.31                  23
319                      15.31                  24
320                      15.33                  22
321                      15.32                  21
322                      15.32                  22
323                      15.31                  22
324                      15.32                  21
325                      15.30                  21
326                      15.53                  21
327                      15.51                  21
328                      15.52                  22
329                      15.41                  22
330                      15.41                  23
331                      15.39                  25
332                      15.39                  24
333                      15.43                  22
334                      15.42                  22
335                      15.42                  23
336                      15.43                  20
337                      15.39                  24
338                      15.37                  22
339                      15.38                  20
340                      15.39                  23
341                      15.39                  18
342                      15.41                  21
343                      15.37                  19
344                      15.61                  14
345                      15.61                  17
346                      15.63                  19
347                      15.50                  21
348                      15.52                  21
349                      15.51                  20
350                      15.52                  21
351                      15.50                  18
352                      15.50                  18
353                      15.52                  18
354                      15.51                  19
355                      15.53                  18
356                      15.49                  18
357                      15.52                  16
358                      15.51                  17
359                      15.54                  19
360                      15.50                  17
361                      15.50                  16
362                      15.50                  17
363                      15.58                  18
364                      15.52                  17
365                      15.50                  16
366                      15.52                  17
367                      15.52                  17
368                      15.72                  16
369                      15.76                  20
370                      15.74                  20
371                      15.63                  19
372                      15.63                  22
373                      15.63                  24
374                      15.68                  24
375                      15.65                  23
376                      15.61                  21
377                      15.62                  20
378                      15.66                  22
379                      15.66                  19
380                      15.61                  20
381                      15.62                  20
382                      15.64                  17
383                      15.64                  19
384                      15.64                  19
385                      15.65                  20
386                      15.61                  19
387                      15.65                  19
388                      15.64                  17
389                      15.66                  20
390                      15.64                  20
391                      15.62                  19
392                      15.61                  20
393                      15.65                  20
394                      15.64                  19
395                      15.61                  19
396                      15.65                  23
397                      15.63                  20
398                      15.87                  19
399                      15.91                  19
400                      15.89                  20
401                      15.80                  20
402                      15.77                  20
403                      15.76                  16
404                      15.64                  19
405                      15.11                  18
406                      15.09                  16
407                      15.01                  17
408                      15.02                  19
409                      15.01                  18
410                      15.00                  17
411                      14.99                  14
412                      15.00                  20
413                      14.99                  16
414                      14.98                  22
415                      15.00                  20
416                      15.02                  19
417                      15.01                  20
418                      15.01                  17
419                      15.00                  19
420                      14.97                  20
421                      15.01                  19
422                      14.99                  18
423                      15.02                  21
424                      15.01                  19
425                      15.01                  15
426                      14.99                  17
427                      14.99                  18
428                      15.01                  18
429                      15.00                  21
430                      15.11                  16
431                      15.09                  21
432                      15.09                  20
433                      15.11                  20
434                      15.02                  22
435                      14.97                  19
436                      15.12                  19
437                      15.10                  19
438                      15.12                  18
439                      15.03                  15
440                      14.98                  18
441                      15.02                  17
442                      15.01                  20
443                      15.01                  21
444                      15.00                  23
445                      15.01                  20
446                      15.01                  20
447                      15.01                  21
448                      15.02                  18
449                      15.02                  20
450                      15.00                  19
451                      15.01                  19
452                      14.99                  16
453                      15.01                  17
454                      15.12                  17
455                      15.02                  20
456                      15.02                  17
457                      15.01                  19
458                      15.01                  18
459                      14.69                  20
460                      14.73                  19
461                      14.69                  20
462                      14.67                  19
463                      14.73                  24
464                      14.71                  23
465                      14.72                  24
466                      14.64                  22
467                      14.64                  25
468                      14.65                  21
469                      14.67                  26
470                      14.68                  22
471                      14.45                  23
472                      14.46                  22
473                      14.44                  25
474                      14.43                  23
475                      14.45                  23
476                      14.47                  26
477                      14.47                  21
478                      14.43                  24
479                      14.45                  23
480                      14.44                  24
481                      14.46                  21
482                      14.43                  21
483                      14.44                  26
484                      14.42                  21
485                      14.47                  24
486                      14.45                  20
487                      14.48                  24
488                      14.46                  19
489                      14.41                  20
490                      14.43                  21
491                      14.45                  23
492                      14.45                  21
493                      14.46                  22
494                      14.45                  21
495                      14.43                  17
496                      14.44                  19
497                      14.48                  19
498                      14.43                  19
499                      14.46                  19
500                      14.51                  20
501                      14.47                  20
502                      14.55                  20
503                      14.46                  17
504                      14.47                  18
505                      14.45                  19
506                      14.45                  18
507                      14.46                  18
508                      14.46                  17
509                      14.43                  18
510                      14.44                  17
511                      14.46                  22
512                      14.43                  20
513                      14.45                  20
514                      14.44                  21
515                      14.45                  21
516                      14.46                  21
517                      14.46                  23
518                      14.43                  21
519                      14.43                  19
520                      14.41                  23
521                      14.47                  19
522                      14.45                  19
523                      14.45                  22
524                      14.42                  20
525                      14.92                  20
526                      14.93                  21
527                      14.89                  18
528                      14.88                  19
529                      14.88                  19
530                      14.89                  19
531                      15.00                  20
532                      15.00                  21
533                      15.01                  20
534                      14.93                  19
535                      15.01                  20
536                      14.94                  20
537                      15.10                  19
538                      15.10                  19
539                      15.10                  18
540                      14.97                  17
541                      15.02                  17
542                      15.01                  18
543                      15.02                  22
544                      15.13                  19
545                      14.99                  20
546                      14.99                  18
547                      14.99                  21
548                      15.00                  21
549                      15.17                  22
550                      15.19                  25
551                      15.20                  17
552                      15.07                  17
553                      15.10                  18
554                      15.10                  16
555                      15.31                  16
556                      15.29                  18
557                      15.29                  18
558                      15.20                  17
559                      15.20                  18
560                      15.20                  17
561                      15.20                  16
562                      15.19                  16
563                      15.21                  16
564                      15.19                  15
565                      15.22                  15
566                      15.22                  16
567                      15.43                  16
568                      15.39                  17
569                      15.38                  18
570                      15.30                  18
571                      15.31                  20
572                      15.30                  19
573                      15.32                  19
574                      15.72                  17
575                      15.32                  18
576                      15.31                  19
577                      15.31                  17
578                      15.29                  18
579                      15.31                  17
580                      15.31                  17
581                      15.30                  17
582                      15.27                  15
583                      15.29                  15
584                      15.33                  17
585                      15.52                  19
586                      15.50                  18
587                      15.52                  17
588                      15.57                  16
589                      15.85                  15
590                      15.55                  16
591                      15.39                  15
592                      15.41                  16
593                      15.40                  16
594                      15.41                  17
595                      15.41                  17
596                      15.38                  17
597                      15.41                  16
598                      15.42                  16
599                      15.41                  16
600                      15.40                  16
601                      15.42                  15
602                      15.40                  17
603                      15.53                  16
604                      15.60                  16
605                      15.64                  17
606                      15.54                  16
607                      15.52                  15
608                      15.53                  16
609                      15.51                  15
610                      15.54                  16
611                      15.53                  17
612                      15.51                  17
613                      15.52                  18
614                      15.52                  18
615                      15.53                  16
616                      15.52                  17
617                      15.52                  17
618                      15.51                  18
619                      15.52                  18
620                      15.52                  18
621                      15.75                  19
622                      15.73                  19
623                      15.72                  18
624                      15.63                  21
625                      15.62                  19
626                      15.96                  20
627                      16.12                  21
628                      15.86                  21
629                      15.85                  20
630                      15.76                  19
631                      15.76                  19
632                      15.75                  17
633                      15.27                  18
634                      14.98                  17
635                      15.02                  14
636                      14.97                  15
637                      14.89                  16
638                      14.89                  17
639                      14.88                  16
640                      14.89                  18
641                      14.91                  17
642                      14.94                  16
643                      14.92                  18
644                      14.91                  18
645                      14.92                  18
646                      14.90                  16
647                      14.89                  18
648                      14.94                  18
649                      14.88                  18
650                      14.92                  21
651                      14.89                  22
652                      14.90                  21
653                      14.91                  21
654                      14.88                  21
655                      14.90                  20
656                      14.89                  18
657                      14.89                  17
658                      14.91                  18
659                      14.91                  19
660                      14.89                  19
661                      14.89                  19
662                      14.89                  22
663                      14.91                  20
664                      14.89                  21
665                      14.94                  19
666                      14.93                  20
667                      14.93                  20
668                      14.91                  21
669                      14.91                  21
670                      14.92                  20
671                      14.92                  20
672                      14.91                  19
673                      14.91                  20
674                      14.90                  21
675                      14.93                  21
676                      14.91                  20
677                      14.93                  18
678                      14.92                  19
679                      14.95                  22
680                      14.95                  22
681                      14.91                  22
682                      14.91                  22
683                      14.92                  21
684                      14.89                  21
685                      14.92                  22
686                      14.91                  21
687                      14.92                  20
688                      14.54                  19
689                      14.54                  21
690                      14.53                  19
691                      14.54                  19
692                      14.51                  17
693                      14.55                  19
694                      14.52                  19
695                      14.50                  19
696                      14.62                  18
697                      14.56                  19
698                      14.53                  18
699                      14.54                  19
700                      14.52                  20
701                      14.55                  21
702                      14.55                  21
703                      14.55                  20
704                      14.51                  20
705                      14.51                  22
706                      14.35                  19
707                      14.26                  23
708                      14.27                  24
709                      14.31                  23
710                      14.26                  22
711                      14.26                  22
712                      14.28                  23
713                      14.32                  22
714                      14.33                  25
715                      14.37                  24
716                      14.30                  23
717                      14.33                  22
718                      14.31                  19
719                      14.27                  22
720                      14.27                  22
721                      14.26                  23
722                      14.27                  24
723                      14.30                  25
724                      14.28                  23
725                      14.28                  26
726                      14.28                  22
727                      14.30                  25
728                      14.30                  24
729                      14.26                  23
730                      14.29                  26
731                      14.30                  24
732                      14.28                  18
733                      14.26                  18
734                      14.32                  21
735                      14.28                  24
736                      14.29                  21
737                      14.31                  18
738                      14.32                  21
739                      14.33                  19
740                      14.29                  19
741                      14.55                  20
742                      14.31                  19
743                      14.31                  20
744                      14.29                  19
745                      14.28                  16
746                      14.28                  19
747                      14.26                  17
748                      14.26                  19
749                      14.29                  24
750                      15.03                  23
751                      14.25                  22
752                      14.76                  21
753                      14.38                  20
754                      14.28                  22
755                      14.34                  20
756                      14.28                  20
757                      14.28                  20
758                      14.27                  15
759                      14.30                  19
760                      15.09                  17
761                      15.12                  18
762                      15.09                  17
763                      15.02                  20
764                      15.03                  20
765                      15.63                  21
766                      15.21                  23
767                      15.23                  22
768                      15.20                  21
769                      15.21                  17
770                      15.12                  20
771                      15.12                  17
772                      15.10                  19
773                      15.10                  16
774                      15.11                  18
775                      15.13                  15
776                      15.14                  19
777                      15.09                  19
778                      15.10                  19
779                      15.11                  21
780                      15.12                  20
781                      15.11                  18
782                      15.10                  18
783                      15.11                  17
784                      15.26                  20
785                      15.29                  19
786                      15.32                  17
787                      15.26                  19
788                      15.24                  19
789                      15.22                  19
790                      15.22                  20
791                      15.22                  19
792                      15.23                  16
793                      15.20                  17
794                      15.23                  17
795                      15.23                  17
796                      15.41                  19
797                      15.43                  17
798                      15.37                  18
799                      15.38                  15
800                      15.37                  18
801                      15.33                  18
802                      15.33                  18
803                      15.31                  21
804                      15.32                  19
805                      15.33                  20
806                      15.32                  20
807                      15.32                  18
808                      15.43                  19
809                      15.52                  18
810                      15.52                  19
811                      15.43                  20
812                      15.42                  17
813                      15.44                  16
814                      15.40                  19
815                      15.46                  17
816                      15.40                  21
817                      15.42                  22
818                      15.42                  22
819                      15.40                  21
820                      15.41                  20
821                      15.41                  22
822                      15.47                  26
823                      15.42                  23
824                      15.43                  23
825                      15.39                  24
826                      15.65                  24
827                      15.62                  23
828                      15.67                  21
829                      15.54                  21
830                      15.55                  22
831                      15.51                  22
832                      15.53                  20
833                      15.54                  19
834                      15.59                  16
835                      15.52                  19
836                      15.54                  20
837                      15.54                  21
838                      15.52                  19
839                      15.52                  19
840                      15.54                  18
841                      15.55                  18
842                      15.55                  18
843                      15.89                  17
844                      15.51                  17
845                      15.41                  19
846                      15.41                  20
847                      15.39                  18
848                      15.31                  19
849                      15.34                  23
850                      15.31                  21
851                      15.32                  20
852                      15.31                  19
853                      15.32                  17
854                      15.31                  17
855                      15.30                  16
856                      15.34                  17
857                      15.33                  19
858                      15.32                  21
859                      15.32                  23
860                      15.32                  23
861                      15.30                  22
862                      15.31                  22
863                      15.40                  22
864                      15.32                  22
865                      15.33                  22
866                      15.32                  23
867                      15.34                  21
868                      15.33                  22
869                      15.34                  20
870                      15.33                  20
871                      15.35                  21
872                      15.33                  19
873                      15.32                  22
874                      15.31                  22
875                      15.29                  20
876                      15.32                  22
877                      15.33                  24
878                      15.32                  21
879                      15.32                  23
880                      15.30                  23
881                      15.34                  24
882                      15.32                  22
883                      15.31                  23
884                      15.33                  23
885                      15.31                  21
886                      15.34                  20
887                      15.33                  21
888                      15.34                  19
889                      15.33                  21
890                      15.30                  21
891                      15.32                  21
892                      15.33                  20
893                      15.34                  21
894                      15.33                  21
895                      15.33                  22
896                      15.38                  20
897                      15.33                  21
898                      15.32                  20
899                      15.21                  18
900                      15.21                  21
901                      15.18                  22
902                      16.74                  20
903                      15.13                  19
904                      15.13                  18
905                      15.11                  19
906                      15.11                  20
907                      15.13                  19
908                      15.15                  22
909                      15.13                  20
910                      15.19                  21
911                      15.37                  22
912                      15.11                  22
913                      15.12                  22
914                      15.12                  23
915                      15.12                  22
916                      15.09                  22
917                      15.13                  23
918                      15.13                  20
919                      15.11                  18
920                      15.12                  16
921                      15.10                  16
922                      15.11                  16
923                      15.12                  17
924                      15.11                  17
925                      15.11                  18
926                      15.12                  20
927                      15.11                  19
928                      15.08                  19
929                      15.11                  21
930                      15.11                  23
931                      15.12                  21
932                      15.12                  20
933                      15.17                  22
934                      15.09                  20
935                      14.55                  21
936                      14.51                  19
937                      14.53                  17
938                      14.54                  21
939                      14.51                  19
940                      14.53                  20
941                      14.57                  17
942                      14.53                  19
943                      14.52                  17
944                      14.54                  15
945                      14.52                  13
946                      14.54                  13
947                      14.52                  12
948                      14.52                  12
949                      14.52                  12
950                      14.53                  16
951                      14.52                  16
952                      14.53                  13
953                      14.55                  13
954                      14.51                  11
955                      14.52                  13
956                      14.60                  12
957                      14.55                  13
958                      14.55                  11
959                      14.50                  11
960                      14.50                  13
961                      14.51                  12
962                      14.51                  13
963                      14.49                  14
964                      14.52                  12
965                      14.52                  13
966                      14.54                  15
967                      14.51                  14
968                      14.51                  13
969                      14.51                  12
970                      14.51                  13
971                      14.53                  13
972                      14.52                  14
973                      14.51                  12
974                      14.55                  14
975                      14.50                  15
976                      14.49                  15
977                      14.53                  15
978                      14.49                  13
979                      14.49                  14
980                      14.57                  12
981                      14.49                  12
982                      14.53                  12
983                      14.52                  13
984                      14.55                  14
985                      14.53                  13
986                      14.55                  13
987                      14.50                  14
988                      14.52                  14
989                      15.32                  13
990                      15.35                  12
991                      15.31                  12
992                      15.26                  13
993                      15.28                  13
994                      15.28                  13
995                      15.21                  14
996                      15.20                  14
997                      15.19                  12
998                      15.19                  13
999                      15.19                  14
1000                     15.66                  17
1001                     15.54                  15
1002                     15.49                  15
1003                     15.54                  15
1004                     15.40                  16
1005                     15.41                  16
1006                     15.41                  14
1007                     14.51                  14
1008                     14.56                  15
1009                     14.53                  14
1010                     14.56                  16
1011                     14.51                  17
1012                     14.51                  16
1013                     14.52                  17
1014                     14.53                  16
1015                     14.53                  15
1016                     14.50                  15
1017                     14.54                  16
1018                     14.52                  15
1019                     14.53                  14
1020                     14.51                  14
1021                     14.50                  13
1022                     14.53                  14
1023                     14.56                  13
1024                     14.51                  12
1025                     14.53                  14
1026                     14.50                  14
1027                     14.51                  15
1028                     14.51                  16
1029                     14.51                  16
1030                     14.50                  16
1031                     14.48                  13
1032                     14.49                  13
1033                     14.51                  13
1034                     14.51                  13
1035                     14.50                  13
1036                     14.49                  15
1037                     14.55                  14
1038                     14.50                  16
1039                     14.49                  14
1040                     14.52                  16
1041                     14.54                  14
1042                     14.50                  13
1043                     14.48                  16
1044                     14.51                  14
1045                     14.48                  15
1046                     14.50                  14
1047                     14.48                  14
1048                     14.47                  14
1049                     14.50                  13
1050                     14.52                  11
1051                     14.47                  13
1052                     14.53                  10
1053                     14.54                  14
1054                     14.55                  13
1055                     14.52                  12
1056                     14.49                  13
1057                     14.50                  17
1058                     14.50                  15
1059                     14.59                  16
1060                     14.49                  16
1061                     15.22                  16
1062                     15.36                  14
1063                     15.37                  14
1064                     15.37                  14
1065                     15.37                  17
1066                     15.35                  15
1067                     15.27                  14
1068                     15.27                  14
1069                     15.29                  11
1070                     15.28                  14
1071                     15.31                  13
1072                     15.29                  12
1073                     15.44                  13
1074                     15.49                  14
1075                     15.51                  12
1076                     15.40                  15
1077                     15.38                  18
1078                     15.39                  17
1079                     15.41                  15
1080                     15.38                  16
