Frame        Inference_Time_ms    Objects_Detected
0                       183.33                  13
1                        31.10                  12
2                        29.20                  12
3                        29.07                  13
4                        29.07                  15
5                        28.44                  15
6                        28.41                  11
7                        18.68                  14
8                        18.10                  13
9                        18.12                  14
10                       18.01                  14
11                       18.08                  14
12                       17.90                  15
13                       17.56                  15
14                       17.56                  14
15                       17.79                  15
16                       17.74                  16
17                       17.83                  16
18                       16.25                  17
19                       16.49                  14
20                       16.24                  18
21                       16.35                  14
22                       16.04                  15
23                       15.81                  16
24                       15.69                  16
25                       16.07                  14
26                       16.37                  14
27                       16.15                  14
28                       15.87                  17
29                       16.26                  13
30                       16.25                  15
31                       16.55                  14
32                       16.33                  15
33                       16.11                  16
34                       15.93                  15
35                       15.84                  15
36                       16.02                  16
37                       15.29                  14
38                       14.80                  15
39                       14.48                  15
40                       14.36                  16
41                       14.86                  14
42                       14.62                  13
43                       14.78                  14
44                       14.38                  14
45                       14.40                  15
46                       14.45                  14
47                       14.67                  13
48                       14.59                  14
49                       14.40                  12
50                       14.93                  14
51                       14.37                  14
52                       14.37                  13
53                       14.45                  15
54                       14.68                  16
55                       15.07                  15
56                       14.50                  15
57                       14.48                  13
58                       14.61                  16
59                       14.85                  16
60                       14.55                  16
61                       14.42                  15
62                       14.51                  16
63                       14.65                  18
64                       14.46                  15
65                       15.17                  16
66                       14.53                  14
67                       14.77                  13
68                       14.38                  14
69                       14.36                  14
70                       14.35                  10
71                       14.38                  10
72                       14.31                  11
73                       14.54                  14
74                       14.44                  14
75                       14.98                  15
76                       14.39                  13
77                       14.46                  15
78                       14.56                  16
79                       15.69                  18
80                       14.99                  14
81                       14.55                  16
82                       14.61                  16
83                       15.05                  18
84                       15.16                  17
85                       14.93                  17
86                       14.51                  15
87                       14.88                  15
88                       14.82                  14
89                       15.01                  18
90                       14.64                  16
91                       14.65                  15
92                       14.67                  16
93                       15.91                  16
94                       15.56                  15
95                       15.49                  17
96                       15.47                  15
97                       15.55                  15
98                       15.46                  15
99                       15.51                  17
100                      15.59                  15
101                      16.63                  16
102                      18.46                  15
103                      16.81                  15
104                      16.63                  16
105                      16.37                  16
106                      18.99                  19
107                      23.31                  21
108                      15.18                  19
109                      15.14                  18
110                      22.91                  16
111                      15.03                  17
112                      14.95                  18
113                      26.29                  13
114                      15.59                  12
115                      14.75                  15
116                      15.17                  14
117                      15.99                  15
118                      15.33                  18
119                      14.54                  19
120                      15.46                  17
121                      15.37                  17
122                      14.46                  16
123                      15.82                  15
124                      15.44                  15
125                      15.44                  15
126                      15.58                  12
127                      15.70                  14
128                      14.65                  15
129                      24.35                  14
130                      15.10                  13
131                      15.09                  15
132                      23.38                  13
133                      14.75                  15
134                      14.54                  15
135                      21.89                  16
136                      14.96                  13
137                      14.55                  14
138                      31.77                  13
139                      15.93                  14
140                      16.03                  13
141                      32.61                  14
142                      16.02                  16
143                      15.69                  15
144                      14.81                  12
145                      26.70                  13
146                      16.33                  16
147                      14.89                  13
148                      27.65                  12
149                      16.15                  12
150                      14.53                  14
151                      27.26                  12
152                      15.70                  15
153                      15.60                  14
154                      26.55                  17
155                      15.54                  14
156                      15.32                  16
157                      25.57                  14
158                      15.53                  12
159                      15.22                  13
160                      32.32                  14
161                      15.71                  14
162                      14.97                  14
163                      34.83                  14
164                      15.73                  15
165                      15.54                  14
166                      27.31                  11
167                      15.79                  13
168                      15.37                  14
169                      29.84                  14
170                      26.46                  15
171                      16.35                  13
172                      15.11                  15
173                      26.35                  15
174                      16.06                  14
175                      15.18                  16
176                      30.06                  13
177                      15.79                  14
178                      15.25                  13
179                      22.31                  15
180                      17.34                  14
181                      16.70                  15
182                      37.66                  15
183                      16.89                  15
184                      15.33                  14
185                      35.55                  15
186                      16.01                  14
187                      16.61                  17
188                      37.30                  16
189                      15.84                  15
190                      16.67                  17
191                      19.68                  17
192                      33.35                  15
193                      16.77                  17
194                      15.35                  17
195                      37.74                  16
196                      16.30                  14
197                      16.23                  14
198                      14.76                  18
199                      23.91                  17
200                      16.06                  14
201                      14.91                  13
202                      15.96                  11
203                      14.89                  11
204                      14.74                  14
205                      15.38                  13
206                      14.56                  12
207                      14.64                  14
208                      19.28                  14
209                      15.23                  12
210                      14.54                  13
211                      15.49                  12
212                      15.83                  12
213                      14.76                  11
214                      28.29                  11
215                      15.51                  13
216                      14.89                  13
217                      28.31                  12
218                      15.86                  12
219                      16.34                  13
220                      27.85                  14
221                      15.65                  16
222                      15.01                  16
223                      14.79                  17
224                      15.68                  17
225                      15.03                  13
226                      21.97                  13
227                      14.76                  13
228                      15.74                  13
229                      14.79                  13
230                      14.82                  13
231                      15.26                  14
232                      14.56                  13
233                      27.35                  14
234                      15.25                  14
235                      14.66                  13
236                      26.98                  17
237                      15.00                  15
238                      15.33                  14
239                      29.89                  12
240                      15.28                  13
241                      14.88                  15
242                      14.72                  14
243                      16.94                  13
244                      16.01                  14
245                      15.80                  13
246                      15.29                  13
247                      14.90                  13
248                      14.87                  14
249                      14.73                  12
250                      26.68                  14
251                      16.00                  13
252                      17.50                  13
253                      17.61                  13
254                      17.07                  14
255                      17.69                  18
256                      16.76                  17
257                      15.55                  18
258                      31.11                  19
259                      15.72                  20
260                      15.37                  20
261                      28.98                  20
262                      15.22                  18
263                      15.45                  20
264                      28.58                  22
265                      16.38                  17
266                      17.05                  18
267                      34.07                  20
268                      15.69                  19
269                      15.59                  21
270                      14.78                  19
271                      21.78                  18
272                      15.73                  18
273                      14.94                  19
274                      26.56                  18
275                      16.73                  17
276                      16.69                  18
277                      29.70                  16
278                      15.67                  15
279                      15.82                  17
280                      35.46                  18
281                      16.11                  17
282                      16.23                  20
283                      36.44                  20
284                      16.09                  20
285                      16.50                  20
286                      36.65                  22
287                      15.72                  21
288                      15.52                  20
289                      30.19                  21
290                      22.38                  22
291                      15.99                  21
292                      15.14                  17
293                      30.85                  17
294                      16.47                  20
295                      15.95                  15
296                      21.86                  18
297                      15.96                  17
298                      14.90                  23
299                      21.11                  21
300                      15.44                  21
301                      14.69                  21
302                      15.25                  21
303                      14.69                  20
304                      15.42                  23
305                      14.82                  22
306                      14.74                  20
307                      14.78                  20
308                      15.59                  19
309                      15.07                  21
310                      14.72                  20
311                      14.68                  19
312                      14.47                  20
313                      14.67                  22
314                      14.72                  21
315                      14.77                  22
316                      15.03                  23
317                      15.39                  24
318                      20.55                  23
319                      16.05                  24
320                      14.91                  22
321                      21.64                  21
322                      15.03                  22
323                      14.56                  22
324                      21.98                  21
325                      15.28                  21
326                      14.78                  21
327                      14.73                  21
328                      14.85                  22
329                      14.78                  22
330                      14.73                  23
331                      15.03                  25
332                      14.97                  24
333                      14.85                  22
334                      15.00                  22
335                      14.80                  23
336                      14.75                  20
337                      23.72                  24
338                      14.94                  22
339                      14.87                  20
340                      14.52                  23
341                      14.72                  18
342                      14.84                  21
343                      15.14                  19
344                      15.62                  14
345                      14.79                  17
346                      14.94                  19
347                      15.27                  21
348                      14.64                  21
349                      14.87                  20
350                      18.22                  21
351                      15.54                  18
352                      14.81                  18
353                      18.93                  18
354                      15.08                  19
355                      15.07                  18
