Frame     Decode Time (ms)    Encode Time (ms)    Transcode Time (ms) 
176       7.3461              11.0207             40.7504             
177       7.2131              10.0624             45.8936             
178       5.9650              10.1172             49.4931             
179       6.8330              11.2218             54.0570             
180       7.1220              9.7800              58.9595             
181       9.7386              7.3852              54.0340             
182       7.5289              10.9561             59.6174             
183       8.9924              5.9178              57.5574             
184       7.0981              6.0334              56.4033             
185       5.7640              6.1163              49.5204             
186       8.2685              6.4464              45.9770             
187       7.9113              6.0132              39.0572             
188       7.6713              7.7057              15.3944             
189       6.5669              8.3384              14.9251             
190       6.3711              5.8377              15.8144             
191       6.4185              10.1166             16.5563             
192       7.9641              11.0296             20.9580             
193       8.2148              10.2089             21.9761             
194       13.8615             11.1825             25.0605             
195       7.7071              10.3011             27.6287             
196       8.1763              7.0026              26.1733             
197       10.2902             11.4475             29.2313             
198       8.1523              14.4769             25.2283             
199       6.7995              9.5849              34.8298             
200       8.0466              14.7809             38.9041             
201       5.6472              11.7216             47.9187             
202       9.3079              11.5691             49.0319             
203       7.0847              10.6442             54.3501             
204       5.8149              11.1689             60.9766             
205       10.7901             9.7999              57.3455             
206       5.5146              7.8784              58.1900             
207       7.5784              10.3353             62.7250             
208       7.0388              6.7076              64.2221             
209       6.7687              6.5222              62.7964             
210       6.7672              6.6110              63.8082             
211       8.5671              8.6586              66.3717             
212       6.4580              6.4345              55.5251             
213       6.4559              9.0124              50.5493             
214       7.3948              9.4198              31.7909             
215       8.6040              6.9469              26.9632             
216       7.3358              6.3945              19.4213             
217       5.8527              5.9885              11.8612             
218       5.7227              6.7764              12.5319             
219       5.3087              6.1321              11.4701             
220       5.5054              9.5493              15.0734             
221       7.2468              6.3670              13.8915             
222       5.9577              6.7171              12.7032             
223       5.4553              6.2405              11.7180             
224       5.3729              6.6270              12.0210             
225       5.8464              6.2140              12.0882             
226       5.5566              6.2686              11.8465             
227       5.3656              7.6100              12.9970             
228       5.4475              6.0246              11.9715             
229       6.4144              6.1286              12.5663             
230       5.4076              5.9506              11.3776             
231       5.6866              6.4672              12.1683             
232       5.2890              6.2707              11.6175             
233       5.4933              6.1672              11.6822             
234       5.3864              6.7167              12.1252             
235       5.5525              6.7492              12.3244             
236       5.2842              6.4363              11.7433             
237       5.7121              6.7460              12.4797             
238       5.6103              8.2914              13.9231             
239       5.8204              6.4903              12.3680             
240       5.1565              6.5848              11.7675             
241       6.7896              9.6350              16.4540             
242       6.0007              6.8845              12.9003             
243       5.4782              6.6918              12.1868             
244       5.4331              7.4715              12.9217             
245       6.3806              6.3550              12.7508             
246       6.1675              6.1227              12.3171             
247       5.2081              6.6657              11.8955             
248       5.6956              8.3757              14.0890             
249       5.1938              6.3065              11.5187             
250       5.7789              6.3643              12.1644             
251       5.3877              6.0356              11.4407             
252       5.3436              6.0468              11.4145             
253       7.0796              6.5506              13.6534             
254       6.4576              5.8964              12.3942             
255       5.4499              6.4025              11.8777             
256       5.2390              6.1117              11.3786             
257       5.5789              6.5963              12.1976             
258       5.4176              6.2202              11.6641             
259       6.4380              5.9731              12.4346             
260       5.5201              6.3098              11.8532             
261       5.4450              5.9443              11.4215             
