Frame     Decode Time (ms)    Encode Time (ms)    Transcode Time (ms) 
176       7.6348              7.9349              79.5736             
177       7.2445              11.3103             82.1289             
178       6.9107              10.7502             82.9782             
179       7.4739              12.3356             58.8994             
180       7.3175              8.1784              57.0653             
181       9.2552              9.7111              51.9217             
182       7.1888              7.1758              48.4530             
183       7.6122              7.2301              41.4682             
184       6.9218              7.1272              30.8994             
185       7.2716              12.3924             19.7015             
186       8.1586              13.3979             32.6575             
187       8.5160              8.0196              40.1422             
188       9.8576              7.7606              46.9850             
189       6.5766              13.9366             20.5438             
190       6.1988              13.8613             34.1687             
191       9.3146              9.9368              43.5967             
192       9.4866              8.2956              51.5362             
193       9.1122              8.3296              59.6300             
194       7.4520              14.1964             21.6792             
195       6.7973              12.6608             34.0597             
196       7.8838              14.4297             48.0594             
197       7.3664              14.7653             62.4498             
198       8.8113              11.4153             73.4169             
199       8.0133              9.9269              83.0219             
200       6.2025              7.7101              90.5566             
201       7.9098              8.2480              98.6440             
202       7.4710              11.6511             110.0962            
203       9.0121              14.4376             124.4330            
204       6.1883              11.3716             132.4179            
205       12.7512             9.7943              37.9119             
206       8.3992              8.1429              45.8619             
207       10.4482             8.1328              53.8036             
208       12.7559             9.8895              22.7393             
209       9.6097              12.1260             32.2788             
210       6.5420              9.3314              41.4770             
211       7.7706              8.1577              49.4493             
212       6.3685              13.1401             19.5395             
213       7.2781              14.0375             31.0055             
214       8.0110              19.0215             49.8805             
215       6.5662              36.1789             85.9525             
216       7.9505              31.8735             117.7379            
217       17.4192             24.7037             142.0195            
218       23.8874             9.3721              151.2465            
219       22.9980             7.9396              159.0329            
220       2.4760              12.6122             15.1196             
221       6.9757              15.5201             30.5999             
222       9.1885              13.8643             44.3438             
223       7.2879              45.2506             89.4839             
224       9.3670              46.7557             136.1822            
225       20.1835             23.0686             158.9473            
226       19.7654             18.6284             177.4463            
227       21.1295             9.0850              185.9355            
228       23.5737             8.7875              194.4146            
229       21.3907             7.5685              201.6226            
230       12.1536             11.0510             212.4818            
231       12.2677             11.4417             223.7145            
232       9.7496              10.5833             234.1142            
233       2.7614              16.7349             47.6686             
236       7.4218              17.5769             65.2268             
237       7.1732              19.4987             84.6861             
238       7.9327              33.9788             118.6400            
239       8.2867              31.3233             149.9485            
240       8.2333              16.9333             166.8699            
241       11.6693             20.8764             187.6923            
242       14.0294             13.6142             201.3161            
243       16.0452             15.0515             216.3605            
244       24.6469             12.8000             229.1324            
245       20.6903             22.4481             251.5595            
246       14.7019             15.0909             134.2940            
247       10.5728             14.8600             148.9540            
248       10.8123             29.9527             178.6239            
249       11.0831             13.1825             191.6360            
250       9.6391              10.1804             201.5830            
251       6.9662              16.1540             217.5641            
252       7.0086              14.0999             231.4850            
253       9.7539              15.6256             246.7709            
254       10.0897             16.1201             262.6121            
255       11.1931             15.1168             277.5372            
256       12.8523             11.3077             288.6307            
257       19.7878             12.8958             301.3885            
258       15.8918             12.6213             303.8126            
259       14.1516             12.6886             270.4183            
260       13.9896             11.8796             282.1222            
261       11.3186             12.7112             167.7910            
262       8.5875              11.5203             179.1009            
263       10.3353             9.2302              188.0110            
264       10.1126             8.7105              193.9799            
265       13.0506             25.7890             219.5460            
266       16.4310             22.4851             241.8681            
267       10.5237             50.0781             291.7284            
268       6.7471              23.0064             314.6067            
269       15.1337             15.3774             324.0186            
270       7.9277              14.5330             314.4563            
271       6.8672              12.1632             313.1299            
272       15.2552             11.3703             315.3770            
273       7.7751              11.4501             306.6115            
274       6.6824              13.1013             315.7158            
275       15.4121             11.4406             301.7589            
276       7.0970              13.4600             313.6975            
277       11.7583             10.7713             274.4804            
278       26.4622             10.0422             206.9494            
279       24.9801             10.4027             217.0212            
280       15.6309             10.5313             227.2378            
281       9.9740              8.8938              235.9068            
282       9.7620              7.6006              243.3361            
283       7.5890              11.4701             254.6364            
284       8.5497              9.6976              248.1440            
285       9.3131              13.5969             254.5712            
286       6.5292              21.0281             265.8877            
287       7.9737              41.4216             277.9293            
288       7.2550              36.8683             301.8815            
289       15.1338             16.8944             290.1594            
290       8.7045              12.4247             289.7564            
291       6.5394              9.3081              292.8319            
292       14.4414             11.0717             295.1533            
293       7.3572              12.9298             281.3899            
294       7.2016              8.9501              286.0711            
295       7.7861              7.9246              261.7465            
296       7.7887              11.6645             258.4349            
297       7.4591              7.7209              256.0039            
298       6.7742              11.7135             245.2784            
299       6.7589              8.0973              245.8945            
300       20.8208             15.8766             234.3702            
301       20.0790             7.5385              229.6051            
302       25.9992             11.4164             233.4060            
303       23.5785             7.8400              211.1916            
304       10.7353             12.3864             211.2218            
305       9.3733              16.6782             215.3118            
306       10.1951             42.5023             233.0399            
307       10.8220             26.9375             247.6005            
308       8.7579              17.1990             237.2101            
309       7.1866              9.6921              236.9680            
310       7.3347              11.0174             240.5223            
311       6.8888              12.3820             228.0928            
312       8.0459              13.4672             221.4911            
313       8.0847              8.7099              215.2640            
314       7.4223              7.6741              212.8430            
315       8.2624              7.5121              205.3937            
316       8.9350              8.0291              185.9293            
317       15.0936             7.5907              179.9239            
318       15.3901             7.7238              178.8101            
319       8.8165              11.3969             78.7116             
320       6.8517              7.8111              86.2322             
321       7.6777              7.2161              93.1549             
322       8.2583              7.7233              30.7280             
323       12.7802             27.5382             43.3074             
324       26.9812             48.5846             91.7079             
325       29.0040             23.3553             112.5529            
326       32.9829             24.2208             128.2521            
327       20.2090             15.2655             78.3256             
328       14.8103             13.6468             91.7905             
329       11.4259             12.5308             104.1703            
330       8.3012              19.4733             123.4631            
331       7.2746              33.9112             157.2005            
332       9.5263              34.8189             125.5680            
333       8.7028              34.2818             159.5105            
334       9.1148              21.5680             180.6644            
335       12.1644             15.2671             195.5689            
336       13.5607             14.3706             209.7250            
337       29.8679             11.6195             221.1367            
338       23.9945             19.5942             227.5180            
339       21.9375             34.2634             207.0139            
340       17.2547             40.3020             247.1210            
341       12.8874             31.9265             278.8297            
342       9.8713              20.5017             299.1440            
343       8.4884              15.0413             313.9734            
344       6.9522              15.5584             260.4501            
345       7.8813              17.6691             277.6767            
346       12.2282             20.6248             297.9052            
347       11.4110             24.9474             322.5697            
348       25.9974             29.9606             352.3430            
349       25.9967             31.1715             383.3071            
350       21.0137             16.6627             399.8052            
351       19.9786             17.0555             403.1404            
352       20.9273             16.0794             409.2131            
353       14.2141             17.8524             406.2054            
354       10.0457             30.2080             427.3284            
355       7.9665              33.6419             431.4733            
356       9.8319              13.6935             432.7840            
357       10.0074             16.1251             445.8198            
358       8.6242              16.1940             449.6012            
359       9.9543              25.2563             459.7964            
360       15.2263             25.9039             367.7563            
361       21.1720             32.2763             399.5546            
362       28.3326             15.9469             415.0478            
363       26.0204             11.9614             426.8070            
364       16.4579             12.1581             438.7469            
365       12.9971             14.6214             453.1337            
366       10.0085             17.1636             459.8032            
367       8.6032              8.9947              454.5502            
368       9.7050              8.3222              452.3610            
369       10.8649             7.4074              447.2439            
370       13.7991             7.3946              427.4092            
371       20.6693             7.7715              425.0760            
372       30.2231             13.3756             418.4803            
373       13.6544             24.0807             425.1234            
374       12.6342             53.0411             468.1986            
375       19.5183             40.3312             481.1152            
376       16.3777             14.9235             486.1080            
377       29.9845             14.8941             483.4091            
378       26.9977             11.6758             470.0858            
379       22.4225             14.7801             472.4564            
380       15.2696             12.9236             355.5451            
381       9.2251              12.9714             293.8816            
382       11.3103             16.3921             317.0519            
383       6.7546              25.7131             342.4874            
384       7.8668              33.5427             384.6234            
385       7.5632              28.7225             402.9212            
386       9.7412              15.3258             354.6408            
387       9.8931              9.7514              361.2933            
388       14.0477             8.7284              369.8250            
389       32.0618             8.6800              378.3168            
390       28.0016             9.2722              387.1630            
391       26.6592             8.5714              338.8610            
392       17.5424             9.0644              347.7307            
393       15.0656             11.7944             359.3169            
394       9.6389              13.5118             372.6600            
395       9.5983              14.7359             387.1941            
396       7.1090              14.2650             401.2758            
397       9.6986              17.9250             333.6496            
398       6.6787              24.1266             357.3719            
399       7.2441              17.6132             374.7776            
400       9.2533              17.1845             391.5928            
401       18.0358             11.5405             402.8821            
402       12.3285             18.0203             420.7103            
403       19.0509             24.0747             383.7564            
404       39.9638             21.1968             404.6849            
405       16.8756             15.5729             419.9592            
406       12.5430             12.2166             431.6731            
407       20.4699             12.4934             443.9826            
408       13.6256             13.9336             181.0804            
409       12.4055             13.0159             194.0551            
410       17.6464             16.4302             210.3135            
411       9.9207              12.9965             153.3031            
414       2.0535              9.2469              162.5585            
415       11.5915             8.8257              168.7724            
416       15.7065             12.1990             180.8235            
417       9.9638              9.2691              190.0058            
418       12.8372             9.1573              199.0911            
419       13.1762             9.3742              208.3920            
420       9.7932              27.4113             37.2452             
424       14.4724             26.1627             63.3715             
425       20.5291             17.4908             80.8273             
426       17.5436             18.8628             99.6164             
427       13.6442             15.0953             114.6437            
428       11.6818             13.2973             127.8821            
429       14.0117             15.4504             143.2657            
430       14.4610             20.1340             163.3588            
431       12.9248             13.6312             176.9543            
432       16.0032             14.6581             191.5502            
433       12.5590             14.2042             205.7055            
434       13.2258             16.4897             222.1642            
435       8.4541              13.7919             235.8877            
436       8.1777              15.4623             251.3005            
437       7.1357              25.4981             276.7727            
438       6.6723              63.5912             209.1552            
439       8.0350              27.4436             213.9844            
440       6.3581              21.2216             235.0481            
441       8.1191              15.2207             250.0972            
442       7.2491              14.7045             264.6986            
443       9.0756              14.0948             268.8814            
444       9.1033              15.8692             226.5923            
445       17.2465             13.7311             239.8746            
446       22.2219             9.0264              248.6598            
447       19.7637             8.0480              256.5492            
448       23.2767             7.5204              263.8798            
449       19.2528             8.4429              263.6265            
450       17.8792             13.5574             215.0486            
451       18.6976             16.5258             231.4146            
452       9.9373              15.7270             246.9374            
453       9.4497              13.2825             260.0909            
454       7.7477              32.6074             227.1930            
455       7.9529              25.3480             252.2760            
456       7.5351              28.8711             280.9955            
457       7.8159              14.7250             279.1953            
458       8.4021              12.2089             236.0182            
459       6.8631              11.8002             247.6460            
460       7.8258              13.5423             261.0344            
461       7.3811              16.4598             277.2709            
462       8.1794              10.6005             220.3627            
463       8.7878              8.6785              228.8372            
464       10.3356             7.9377              236.3762            
465       25.6674             8.4760              244.5481            
466       20.7924             8.1388              252.4979            
467       24.2304             11.8740             256.0154            
468       21.4067             8.6818              205.2921            
469       15.5898             11.9565             216.9425            
470       12.6655             17.1213             233.8036            
471       13.3521             14.2932             247.8178            
472       7.7692              16.5344             169.3734            
473       8.4983              13.3309             179.7670            
474       7.7412              15.3163             194.9158            
475       9.6213              11.5275             206.1915            
476       8.6607              7.7628              213.7669            
477       9.4309              8.0568              221.7113            
478       3.1120              15.0215             18.1621             
479       7.0873              11.2815             29.3913             
480       10.6732             14.7984             44.1031             
481       9.2701              17.1904             61.2362             
482       10.6315             20.5460             81.7232             
483       9.0266              43.7166             125.4010            
484       11.8281             29.8876             155.1790            
485       23.9931             17.1682             172.3615            
486       21.5930             13.7780             186.0855            
487       14.5981             13.7678             199.8144            
488       20.4633             13.2717             213.0308            
489       14.9395             12.7566             225.7302            
490       12.8722             11.4683             237.1435            
491       8.1051              14.8110             251.8594            
492       7.3085              15.7935             267.4992            
493       9.5178              27.6859             294.6672            
494       7.6874              39.9502             334.3636            
495       8.8905              52.2726             386.3493            
496       9.2842              28.0789             407.1120            
497       10.9684             14.2503             286.8675            
