Frame     Decode Time (ms)    Transcode Time (ms) Encode Time (ms)    Total Time (ms)     
188       3.3811              12.3110             21.6856             37.4696             
191       5.7136              5.9225              23.5316             35.2577             
194       5.0092              5.9168              25.9910             36.9973             
197       15.0621             10.3406             23.0883             49.0074             
200       9.6395              12.6228             15.0107             63.9537             
201       2.9013              10.3776             31.9712             45.5226             
203       7.6441              9.3388              17.2052             62.6396             
204       13.0704             7.9159              32.1535             63.0969             
206       3.7711              15.8498             20.8716             54.5663             
209       14.9986             11.7594             7.8999              62.3805             
210       4.1177              6.0216              22.1370             32.3554             
212       2.8183              10.9204             34.3919             51.3673             
215       7.2116              17.4189             14.5135             65.8352             
218       2.8966              10.9980             12.3710             78.1759             
234       1.5061              8.9350              26.0636             36.5980             
236       7.3682              10.4112             14.0146             50.5537             
237       2.9735              5.9476              16.0873             25.0761             
239       5.2540              6.0256              15.4027             26.7455             
242       5.8131              7.9233              25.2036             39.0036             
245       9.3275              10.5278             11.8926             50.8401             
246       2.8533              9.0081              20.9006             32.8358             
248       9.3781              10.7028             15.8932             48.6639             
249       2.6053              11.3888             22.6048             36.6788             
251       6.4471              7.5302              15.3426             37.1290             
284       4.9614              7.0411              20.6932             32.7591             
287       5.2011              8.0063              15.2694             28.5482             
290       3.1829              8.5980              24.7279             36.5980             
293       9.1895              14.3672             12.7028             49.2226             
294       2.5804              12.7684             20.0665             37.5103             
296       8.3602              9.6952              13.6101             51.0653             
297       2.4288              13.7368             19.8852             36.1183             
299       6.7280              11.5643             21.7801             57.8518             
300       6.7586              10.3382             7.3625              65.1903             
301       1.5775              11.3011             25.9677             38.9332             
305       7.5719              11.4123             11.5263             50.4009             
306       1.9061              14.2904             26.5756             45.4797             
308       8.3939              11.2336             22.8961             68.3350             
309       9.9154              15.1181             7.3783              75.6721             
310       1.8400              10.5605             19.1142             31.5741             
311       5.6475              10.8419             12.9629             30.8602             
314       5.1558              12.2440             14.4570             32.4865             
330       2.7070              6.0166              18.8189             27.6037             
332       4.8920              5.8867              15.7028             26.5718             
335       4.7373              6.3982              17.0842             28.2914             
338       5.2142              5.8698              17.7196             28.8723             
341       5.5673              8.9474              21.7027             36.2955             
344       9.5678              12.3034             16.1272             52.3839             
345       1.9225              10.1776             26.4584             38.6791             
347       8.6687              13.5264             13.2757             51.8652             
348       4.3223              6.1463              24.5219             35.0707             
350       2.8335              6.0246              17.3825             30.8571             
353       5.2016              6.1858              14.5722             26.0355             
356       5.2042              13.2953             21.5227             42.1352             
359       7.9922              11.2972             11.7865             53.8482             
360       1.9244              10.4381             18.4478             30.8799             
362       4.4783              9.7806              16.2274             31.1799             
378       4.9730              7.8589              22.6961             35.8422             
383       5.2013              7.2980              21.6889             35.5164             
386       6.0970              11.6483             23.2156             41.0322             
389       9.0601              12.0108             13.6215             54.5359             
390       2.7377              10.1114             21.7425             34.6530             
392       7.9024              14.7405             14.8201             49.4096             
393       1.6880              5.8938              18.3122             25.9612             
395       5.0772              5.9658              19.2834             30.3962             
410       2.2011              5.9516              23.5966             31.8182             
413       5.5461              5.9237              23.1096             34.6536             
416       3.8109              5.9630              23.8190             33.6747             
419       2.7025              5.9552              24.0798             32.8012             
422       3.3109              12.1459             21.7220             37.2489             
425       7.4612              10.8253             13.4698             50.6445             
426       2.8869              5.9701              26.9948             35.9206             
428       5.6219              9.7592              23.8482             39.4818             
431       8.9416              11.2216             15.2437             54.6398             
432       2.8191              5.9745              23.8470             32.7317             
434       2.9574              5.9965              16.0344             25.0731             
437       5.2127              6.0658              20.2988             31.6389             
440       5.1729              5.9823              21.1402             32.3854             
473       4.8140              5.9441              23.2228             34.0594             
521       3.3113              5.9414              26.7429             36.0605             
569       2.6407              5.9436              20.6324             29.2837             
602       2.5773              9.2180              25.7222             37.5975             
605       8.4461              18.3273             11.6689             49.1812             
606       1.7365              7.7333              18.8702             28.4278             
608       5.1754              6.9970              15.6654             27.9131             
611       4.0398              11.2841             30.4799             58.4021             
614       4.4585              9.6945              11.4757             38.1205             
617       5.3475              6.2247              14.9303             26.5849             
650       2.6691              12.3916             20.0040             35.5860             
653       7.6771              12.2095             14.5740             50.1316             
654       3.0005              8.7387              18.6958             30.5103             
656       4.8688              21.6104             17.7583             56.0889             
659       8.3453              7.2195              20.3737             44.3166             
689       2.5167              5.8767              20.0626             28.5151             
692       5.2805              5.8925              20.5206             31.7605             
695       4.9100              5.9565              19.9876             30.9332             
698       2.7837              5.9756              19.8636             28.7894             
701       2.1367              5.9835              22.4346             30.6259             
704       5.1990              5.9587              18.8477             30.0716             
707       5.3719              5.8722              21.3616             32.6707             
740       3.9314              5.9637              26.8152             36.7706             
743       4.8608              9.7388              20.5007             35.2103             
746       2.5765              12.8009             34.1533             49.6071             
752       5.4043              12.2196             18.5351             68.1399             
