index   dl_delay_ms   time_diff_ms    duration_ms   total_ms      packet_size  sync_rtt_ms
117     20.92         -41.58          4.02          24.94         100000      11.95     
118     20.40         -41.24          2.80          23.20         100000      9.37      
119     20.55         -41.08          4.69          25.24         100000      9.37      
120     11.51         -50.12          4.85          16.36         100000      9.37      
121     10.81         -50.72          11.85         22.66         100000      10.58     
122     20.71         -40.81          8.03          28.74         100000      10.58     
123     10.39         -51.14          7.38          17.77         100000      10.58     
124     10.35         -50.96          6.57          16.93         100000      11.53     
125     10.71         -50.61          7.76          18.47         100000      11.53     
126     11.65         -49.67          5.74          17.38         100000      11.53     
127     10.74         -51.03          7.92          18.67         100000      9.98      
128     10.66         -51.11          6.76          17.42         100000      9.98      
129     16.18         -45.60          9.06          25.24         100000      9.98      
130     11.97         -49.79          7.47          19.44         100000      10.66     
131     14.80         -46.96          5.51          20.31         100000      10.66     
132     12.71         -49.05          7.81          20.52         100000      10.66     
133     14.86         -46.79          2.67          17.53         100000      10.97     
134     11.41         -50.24          5.90          17.31         100000      10.97     
135     11.22         -50.43          11.67         22.89         100000      10.97     
136     12.20         -51.35          6.85          19.05         100000      14.50     
137     12.94         -50.61          7.39          20.33         100000      14.50     
138     22.03         -41.52          5.99          28.02         100000      14.50     
139     18.00         -43.84          1.53          19.53         100000      10.52     
140     10.75         -51.09          6.77          17.52         100000      10.52     
141     11.07         -50.77          8.78          19.85         100000      10.52     
142     15.33         -46.39          2.55          17.89         100000      10.09     
143     11.13         -50.59          6.68          17.81         100000      10.09     
144     13.24         -48.48          5.69          18.93         100000      10.09     
145     20.12         -41.71          7.27          27.39         100000      10.79     
146     11.63         -50.19          8.96          20.60         100000      10.79     
147     11.81         -50.01          9.93          21.74         100000      10.79     
148     12.37         -49.40          11.01         23.38         100000      9.96      
149     13.32         -48.44          8.34          21.66         100000      9.96      
150     11.76         -50.00          6.60          18.37         100000      9.96      
151     12.16         -49.64          11.76         23.92         100000      9.92      
152     12.74         -49.05          8.89          21.64         100000      9.92      
153     12.46         -49.34          7.73          20.18         100000      9.92      
154     9.91          -50.68          10.31         20.22         100000      14.21     
155     10.38         -50.21          11.08         21.46         100000      14.21     
156     10.97         -49.62          9.97          20.94         100000      14.21     
157     12.72         -50.04          11.60         24.32         100000      11.64     
158     13.19         -49.57          7.74          20.92         100000      11.64     
159     12.29         -50.47          5.46          17.75         100000      11.64     
160     27.24         -36.23          29.63         56.87         100000      13.27     
161     12.22         -51.26          6.32          18.54         100000      13.27     
162     14.22         -49.26          4.23          18.45         100000      13.27     
163     12.96         -50.46          11.75         24.71         100000      13.10     
164     13.15         -50.27          10.14         23.29         100000      13.10     
165     18.17         -45.25          10.95         29.12         100000      13.10     
166     12.69         -49.73          5.14          17.84         100000      11.54     
167     12.26         -50.16          8.69          20.95         100000      11.54     
