index   dl_delay_ms   time_diff_ms    duration_ms   total_ms      packet_size  sync_rtt_ms
--------------------------------------------------------------------------------
1       26.79         -36.77          10.74         37.54         50000       13.85     
2       23.93         -39.63          1.07          25.00         50000       13.85     
3       13.60         -49.95          6.46          20.06         50000       13.85     
4       13.14         -48.60          12.15         25.29         50000       9.41      
5       10.94         -50.80          5.20          16.14         50000       9.41      
6       10.61         -51.13          5.74          16.36         50000       9.41      
7       11.35         -50.63          4.47          15.82         50000       9.79      
8       13.37         -48.61          7.35          20.72         50000       9.79      
9       21.23         -40.76          4.23          25.45         50000       9.79      
10      13.74         -48.90          6.54          20.28         50000       18.78     
11      13.19         -49.44          1.88          15.07         50000       18.78     
12      11.50         -51.13          9.98          21.49         50000       18.78     
13      12.77         -50.68          4.19          16.95         50000       12.51     
14      12.77         -50.67          2.72          15.49         50000       12.51     
15      11.96         -51.49          5.73          17.68         50000       12.51     
16      13.73         -50.40          5.13          18.86         50000       14.00     
17      13.32         -50.81          3.23          16.56         50000       14.00     
18      17.59         -46.54          6.77          24.36         50000       14.00     
19      13.39         -51.23          10.95         24.34         50000       15.29     
20      14.00         -50.62          3.37          17.37         50000       15.29     
21      18.73         -45.89          6.63          25.36         50000       15.29     
22      13.65         -49.74          3.61          17.26         50000       12.67     
23      12.59         -50.80          11.62         24.22         50000       12.67     
24      21.73         -41.65          4.55          26.29         50000       12.67     
25      11.33         -50.60          2.82          14.14         50000       9.97      
26      11.77         -50.16          3.39          15.16         50000       9.97      
27      12.15         -49.78          3.43          15.58         50000       9.97      
28      11.40         -50.46          3.45          14.85         50000       9.64      
29      10.76         -51.10          4.65          15.41         50000       9.64      
30      11.13         -50.72          4.46          15.59         50000       9.64      
31      12.66         -51.35          10.69         23.36         50000       13.99     
32      17.83         -46.19          6.59          24.42         50000       13.99     
33      12.60         -51.41          5.37          17.98         50000       13.99     
34      13.69         -50.55          4.86          18.54         50000       14.41     
35      13.70         -50.54          5.62          19.31         50000       14.41     
36      17.55         -46.69          1.18          18.73         50000       14.41     
37      11.12         -50.80          4.38          15.50         50000       10.28     
38      20.62         -41.30          5.95          26.57         50000       10.28     
39      21.66         -40.26          4.41          26.06         50000       10.28     
40      12.01         -49.92          5.00          17.00         50000       10.04     
41      31.14         -30.79          6.06          37.20         50000       10.04     
42      12.90         -49.03          7.22          20.12         50000       10.04     
43      12.43         -51.16          8.14          20.57         50000       12.86     
44      13.57         -50.02          8.49          22.06         50000       12.86     
45      13.84         -49.76          4.70          18.54         50000       12.86     
46      13.15         -50.58          4.96          18.11         50000       13.12     
47      12.77         -50.96          4.94          17.70         50000       13.12     
48      13.76         -49.98          6.54          20.29         50000       13.12     
49      9.71          -50.91          5.14          14.84         50000       12.40     
50      9.98          -50.64          9.97          19.95         50000       12.40     
51      19.60         -41.02          4.84          24.44         50000       12.40     
52      11.57         -50.10          4.72          16.28         50000       10.70     
53      12.01         -49.66          5.79          17.79         50000       10.70     
54      11.08         -50.58          4.77          15.86         50000       10.70     
55      23.08         -38.94          3.80          26.88         50000       9.98      
56      12.04         -49.99          6.50          18.54         50000       9.98      
57      10.73         -51.29          10.80         21.53         50000       9.98      
58      12.08         -50.91          4.35          16.43         50000       11.73     
59      13.38         -49.61          2.73          16.11         50000       11.73     
60      12.55         -50.44          3.97          16.52         50000       11.73     
61      11.15         -50.87          5.99          17.14         50000       9.73      
62      12.13         -49.90          4.62          16.74         50000       9.73      
63      21.50         -40.52          3.92          25.42         50000       9.73      
64      13.41         -49.47          2.31          15.72         50000       12.00     
65      22.21         -40.67          3.40          25.61         50000       12.00     
66      11.58         -51.31          11.78         23.35         50000       12.00     
67      14.67         -49.12          8.38          23.05         50000       13.26     
68      12.70         -51.09          5.64          18.34         50000       13.26     
69      23.28         -40.50          5.52          28.80         50000       13.26     
70      13.50         -50.09          7.24          20.74         50000       12.82     
71      12.87         -50.71          6.55          19.42         50000       12.82     
