index   dl_delay_ms   time_diff_ms    duration_ms   total_ms      packet_size  sync_rtt_ms
--------------------------------------------------------------------------------
1       14.96         -47.89          0.20          15.16         20000       13.18     
2       16.52         -46.33          0.71          17.23         20000       13.18     
3       12.34         -50.50          4.61          16.95         20000       13.18     
4       12.23         -49.35          3.89          16.12         20000       11.77     
5       10.39         -51.19          5.74          16.13         20000       11.77     
6       12.00         -49.58          0.40          12.40         20000       11.77     
7       10.82         -51.16          5.10          15.93         20000       9.77      
8       11.83         -50.16          4.64          16.47         20000       9.77      
9       11.17         -50.81          11.13         22.30         20000       9.77      
10      10.35         -51.48          5.95          16.30         20000       10.90     
11      12.58         -49.25          1.57          14.15         20000       10.90     
12      12.03         -49.80          0.56          12.58         20000       10.90     
13      16.15         -45.83          5.29          21.44         20000       10.52     
14      20.00         -41.98          0.46          20.45         20000       10.52     
15      12.35         -49.63          6.29          18.64         20000       10.52     
16      10.67         -50.61          4.31          14.98         20000       11.53     
17      10.06         -51.22          5.49          15.55         20000       11.53     
18      10.32         -50.96          5.44          15.75         20000       11.53     
19      10.56         -51.31          5.75          16.31         20000       10.02     
20      15.91         -45.97          0.47          16.38         20000       10.02     
21      11.82         -50.05          9.53          21.35         20000       10.02     
22      11.64         -50.78          15.57         27.20         20000       17.99     
23      11.61         -50.80          2.95          14.56         20000       17.99     
24      11.97         -50.44          1.73          13.70         20000       17.99     
25      11.09         -51.13          2.57          13.66         20000       10.27     
26      12.73         -49.49          0.72          13.45         20000       10.27     
27      11.62         -50.60          1.94          13.56         20000       10.27     
28      11.36         -50.79          4.10          15.46         20000       10.17     
29      11.60         -50.55          3.86          15.45         20000       10.17     
30      20.84         -41.30          0.92          21.76         20000       10.17     
31      12.16         -49.56          9.36          21.52         20000       11.53     
32      10.87         -50.84          2.97          13.84         20000       11.53     
33      11.03         -50.68          2.91          13.94         20000       11.53     
34      18.39         -44.72          0.66          19.05         20000       12.45     
35      12.01         -51.09          3.09          15.10         20000       12.45     
36      12.34         -50.76          3.43          15.78         20000       12.45     
37      11.57         -50.62          2.42          13.99         20000       10.50     
38      11.58         -50.61          3.87          15.45         20000       10.50     
39      11.49         -50.70          4.68          16.17         20000       10.50     
40      13.28         -48.73          1.70          14.98         20000       10.78     
41      13.10         -48.91          5.79          18.89         20000       10.78     
42      14.42         -47.59          4.46          18.88         20000       10.78     
43      10.13         -50.30          6.19          16.32         20000       13.80     
44      9.73          -50.70          4.71          14.44         20000       13.80     
45      10.67         -49.76          13.88         24.55         20000       13.80     
