index   dl_delay_ms   time_diff_ms    duration_ms   total_ms      packet_size  sync_rtt_ms
--------------------------------------------------------------------------------
1       25.23         -38.12          0.08          25.31         5000        12.40     
2       20.03         -43.32          1.14          21.18         5000        12.40     
3       20.66         -42.69          0.04          20.69         5000        12.40     
4       19.70         -42.59          0.13          19.84         5000        10.46     
5       12.20         -50.09          0.06          12.27         5000        10.46     
6       11.80         -50.50          0.05          11.85         5000        10.46     
7       11.32         -50.94          0.10          11.42         5000        10.52     
8       11.13         -51.12          0.03          11.17         5000        10.52     
9       10.54         -51.71          0.10          10.63         5000        10.52     
10      10.70         -51.59          0.07          10.76         5000        10.46     
11      10.73         -51.56          0.08          10.81         5000        10.46     
12      19.93         -42.36          0.07          20.00         5000        10.46     
13      15.62         -46.44          0.17          15.79         5000        10.90     
14      20.02         -42.04          0.06          20.08         5000        10.90     
15      16.11         -45.95          0.11          16.22         5000        10.90     
16      11.89         -50.66          0.09          11.98         5000        10.32     
17      12.19         -50.36          0.05          12.24         5000        10.32     
18      12.09         -50.46          0.08          12.17         5000        10.32     
19      16.63         -45.53          0.04          16.67         5000        10.32     
20      15.55         -46.61          0.06          15.61         5000        10.32     
21      11.13         -51.03          0.04          11.17         5000        10.32     
22      11.07         -51.21          2.45          13.52         5000        9.47      
23      20.38         -41.90          0.04          20.42         5000        9.47      
24      11.39         -50.89          0.10          11.49         5000        9.47      
25      16.14         -46.64          0.11          16.25         5000        10.71     
26      16.97         -45.81          0.06          17.04         5000        10.71     
27      16.99         -45.79          0.08          17.07         5000        10.71     
28      12.65         -50.41          0.08          12.73         5000        15.45     
29      12.20         -50.87          0.08          12.28         5000        15.45     
30      11.14         -51.93          5.12          16.26         5000        15.45     
31      12.56         -50.73          0.12          12.68         5000        12.53     
32      12.55         -50.74          0.14          12.69         5000        12.53     
33      17.72         -45.57          0.16          17.87         5000        12.53     
34      11.59         -50.64          0.11          11.69         5000        11.21     
35      20.51         -41.72          0.12          20.63         5000        11.21     
36      11.93         -50.30          0.07          12.00         5000        11.21     
37      11.66         -50.76          0.20          11.86         5000        9.97      
38      13.09         -49.33          0.06          13.16         5000        9.97      
39      11.76         -50.66          0.10          11.86         5000        9.97      
40      16.28         -45.94          0.08          16.36         5000        10.98     
41      11.94         -50.27          0.21          12.15         5000        10.98     
42      11.15         -51.06          0.07          11.23         5000        10.98     
43      21.36         -41.14          0.22          21.59         5000        10.48     
44      20.72         -41.79          0.07          20.79         5000        10.48     
45      11.53         -50.98          0.13          11.66         5000        10.48     
46      20.11         -41.69          0.10          20.21         5000        10.53     
47      12.33         -49.48          0.18          12.51         5000        10.53     
48      16.05         -45.76          0.20          16.25         5000        10.53     
49      11.59         -50.78          0.14          11.73         5000        10.20     
50      16.68         -45.69          0.15          16.83         5000        10.20     
51      16.64         -45.73          0.04          16.68         5000        10.20     
52      12.74         -49.53          0.10          12.84         5000        10.13     
53      11.62         -50.65          0.11          11.72         5000        10.13     
54      16.60         -45.66          0.11          16.71         5000        10.13     
55      16.40         -45.90          4.83          21.24         5000        10.43     
56      11.05         -51.25          5.03          16.08         5000        10.43     
57      11.36         -50.94          0.08          11.44         5000        10.43     
58      17.03         -45.26          0.87          17.90         5000        10.66     
59      20.74         -41.55          0.14          20.88         5000        10.66     
60      20.74         -41.55          0.08          20.82         5000        10.66     
61      11.52         -50.76          0.06          11.58         5000        10.01     
62      15.80         -46.47          6.19          21.99         5000        10.01     
