Frame     Decode Time (ms)    Encode Time (ms)    Transcode Time (ms) 
1         21.5367             13.1395             34.7220             
2         12.7469             13.1525             47.8645             
3         12.4419             6.9463              54.8251             
4         12.9867             7.0286              66.7912             
5         13.1218             6.3629              79.2085             
6         11.8952             9.7179              94.4362             
7         6.0349              11.0137             105.4670            
8         7.5199              9.8680              115.3732            
9         7.1855              12.9560             128.3434            
10        5.2176              11.8970             140.2410            
11        8.6847              12.5127             152.7863            
12        10.0986             10.3661             163.1675            
13        5.3438              14.3831             181.1466            
14        5.9062              13.1543             197.7123            
15        5.8193              9.5388              207.2861            
16        7.6144              10.6415             220.3964            
17        7.7109              11.6589             232.0826            
18        10.8630             12.5340             247.2743            
19        7.5706              10.9156             258.2124            
20        10.6618             14.2361             273.3633            
21        8.0167              10.4450             283.8149            
22        5.9561              11.2122             296.8931            
23        10.6366             8.1003              304.9974            
24        7.9614              10.0177             315.0650            
25        7.0588              12.1033             327.1848            
26        10.4819             12.3493             341.3608            
27        7.8407              9.5386              350.9042            
28        5.9232              11.7074             365.0815            
29        11.9559             11.3854             376.4856            
30        7.0835              10.1998             386.6931            
31        7.7381              10.2786             398.5742            
32        10.7014             7.7511              202.8677            
33        7.2067              5.9580              191.9948            
34        9.1632              6.1749              187.3771            
35        9.0347              6.3782              186.8084            
36        6.8563              5.9052              159.4469            
37        10.8287             5.8157              145.8637            
38        7.2243              5.9118              151.6640            
39        6.7176              6.5331              128.5726            
40        11.8979             6.2914              134.1183            
41        9.9457              6.1464              109.2776            
42        6.7656              5.7570              114.9995            
43        6.7525              6.0859              106.1049            
44        11.5189             5.9715              111.2999            
45        8.2843              5.7133              95.6915             
46        5.4311              11.1986             16.6510             
47        6.6360              12.7054             29.3370             
48        8.0690              11.6519             40.9374             
49        6.9032              11.5089             51.6181             
50        5.8286              12.9532             64.4868             
51        9.7811              11.0130             74.7874             
52        6.7267              13.0153             87.9765             
53        7.8583              12.6542             93.0500             
54        6.4948              10.8699             102.6951            
55        7.4744              14.0174             107.8655            
56        7.7258              11.7238             109.8634            
57        6.4898              10.0215             109.8737            
58        7.6632              6.2127              115.6307            
59        7.1887              5.9743              108.2466            
60        6.7451              6.4916              96.0563             
61        10.0931             6.3700              82.6510             
62        8.0755              8.7619              75.5185             
63        6.5059              9.2046              83.4283             
64        8.7170              6.7223              82.6498             
65        9.6437              9.3486              79.8225             
66        7.9333              9.4503              42.9903             
67        8.6475              6.4815              38.8153             
68        7.9035              6.2118              29.2432             
69        7.1118              9.1895              30.0983             
70        7.0712              12.5638             19.6535             
71        5.5657              11.1232             22.4091             
72        8.3350              13.0276             28.9483             
73        7.9081              10.6532             31.9989             
74        5.6310              10.6701             37.0695             
75        8.6797              6.3932              36.8945             
76        7.6755              9.0211              31.9529             
77        7.6003              6.9087              37.6925             
78        6.7759              10.8283             22.6279             
79        7.1261              12.4590             20.2598             
80        6.2852              10.6536             22.9265             
81        7.6268              12.1233             27.0815             
82        8.1158              6.9812              26.2778             
83        5.6014              6.6504              25.9154             
84        7.9504              6.4679              24.9235             
85        7.0235              14.1255             21.1738             
86        5.6558              14.5352             33.0179             
87        7.0328              10.3603             39.2129             
88        6.3204              12.8420             45.0744             
89        8.8668              7.0021              45.0440             
90        7.8645              6.6417              34.2653             
91        6.2013              6.1990              40.4116             
92        7.9899              6.1575              40.9034             
93        5.7424              11.4696             17.2359             
94        6.1409              15.7708             32.5481             
95        7.1537              7.7762              35.2443             
96        5.1980              6.0707              36.3919             
97        7.1322              6.8661              35.0147             
98        8.0261              6.7519              30.9984             
99        5.2638              6.6731              11.9547             
100       5.3877              6.4962              11.9080             
101       6.4366              7.2482              13.7136             
102       6.0297              11.5943             17.6468             
103       7.3559              10.0777             20.2394             
104       6.0390              10.7009             25.3404             
105       8.5979              14.7051             31.1924             
106       8.1317              8.0220              33.1835             
107       5.6839              6.3018              33.4860             
108       6.2195              7.3727              29.7040             
109       7.5358              11.6989             19.2608             
110       4.8150              11.6595             30.9033             
111       7.5965              14.4444             38.0824             
112       5.4473              10.4039             45.3314             
113       7.8316              6.5234              46.6786             
114       7.5350              6.9580              46.1252             
115       6.2788              9.7804              48.9718             
116       7.0288              10.0805             52.7906             
117       7.0027              11.4252             30.4449             
118       8.0180              10.1443             31.1401             
119       8.0122              10.2136             27.8558             
120       7.0914              11.8513             36.2133             
121       7.7540              6.6484              34.3512             
122       6.9815              6.3404              27.3957             
123       6.9483              7.0210              31.9417             
124       5.6409              13.3421             19.0115             
125       5.9141              7.7330              24.3573             
126       6.4631              10.4426             31.4186             
127       6.2873              7.0937              15.5835             
128       6.4299              10.7991             17.2507             
129       6.3883              11.5141             21.9258             
130       5.9949              7.0492              21.4687             
131       8.4889              6.3210              19.8380             
132       5.7170              10.7755             16.5244             
133       7.4275              9.1410              16.5893             
134       7.7406              12.2336             19.9947             
135       5.5570              10.8767             30.4566             
136       7.2816              6.5896              30.8869             
137       7.6096              6.2431              25.0748             
138       5.9624              7.3087              13.2962             
139       5.7226              10.0543             15.7939             
140       5.6962              11.0297             22.9214             
141       6.2479              9.5197              18.3864             
142       7.9176              7.0493              19.1940             
143       5.3132              12.2512             17.5921             
144       5.5804              7.8673              23.5316             
145       7.3155              8.1576              24.3022             
146       5.5292              7.1599              17.4986             
147       5.8381              13.9777             19.8421             
148       5.8360              9.7746              23.0270             
149       7.2141              6.9137              24.6909             
150       8.1855              6.7856              20.2836             
151       5.7473              6.3191              12.0860             
152       4.7424              6.3516              11.1258             
153       6.1313              8.7094              14.8589             
154       5.8896              13.1490             19.0545             
155       5.7558              6.8103              22.3510             
156       6.4532              6.4692              28.0972             
157       7.1456              13.3134             20.4837             
158       5.5782              10.8458             27.7246             
159       6.6222              7.5500              26.0875             
160       7.8331              6.9105              23.5047             
161       6.1045              6.4989              23.8592             
162       4.8098              6.7647              11.5976             
163       5.9879              7.7414              13.7517             
164       5.2069              9.3280              14.5538             
165       6.1763              6.5420              13.4989             
166       5.7380              8.4709              14.2377             
167       5.2572              6.6084              16.8869             
168       5.8464              6.7708              12.6393             
169       5.8398              6.7942              12.6515             
170       5.5360              6.6287              12.1813             
171       5.4882              6.4217              11.9300             
172       4.9868              6.5839              11.5948             
173       5.5230              6.3498              11.8988             
174       5.0278              6.9407              11.9869             
175       4.9590              6.2203              11.2035             
176       5.6070              6.6610              12.2989             
177       5.2428              6.2077              12.3603             
178       5.2914              6.9108              12.2253             
179       5.5278              6.1600              11.7079             
180       4.8793              6.7247              11.6247             
181       6.8175              8.8887              15.7303             
182       5.9647              8.6997              17.3327             
183       7.2750              6.4507              13.7487             
184       5.4475              6.1519              11.6241             
185       5.8606              6.8575              12.7371             
186       6.7399              7.3116              14.0731             
187       7.4670              6.2861              13.7704             
188       7.4635              16.1433             23.6386             
189       6.0544              7.8064              27.4343             
190       7.1797              6.4697              27.9074             
191       6.6104              6.5719              23.5547             
192       7.4339              9.1389              16.6009             
193       7.8698              9.2082              17.0938             
194       6.7643              8.7206              17.8181             
195       7.8921              6.3648              14.2759             
196       5.8352              6.6938              12.5507             
197       6.2201              6.3555              12.6037             
198       6.4669              6.6561              13.1412             
199       5.6941              6.2130              11.9543             
200       5.4497              8.1791              13.6480             
201       7.0260              10.8952             22.7842             
202       9.1971              8.2802              17.4944             
203       5.5337              10.2064             15.7691             
204       6.2308              6.9995              18.0510             
205       10.8614             20.1513             31.0477             
206       14.3867             17.7271             40.2721             
207       12.5138             18.1515             52.9783             
208       10.9468             16.3506             52.3152             
209       11.3410             17.3965             44.9621             
210       13.2299             16.1512             49.6046             
211       9.6975              11.9528             40.8945             
212       7.8079              9.6961              30.5298             
213       6.1389              6.4240              28.3819             
214       7.4176              6.2939              23.0706             
215       5.6133              8.8692              14.5144             
216       6.5811              11.8480             18.4463             
217       8.5168              10.1944             19.1801             
218       7.3797              6.3777              13.7760             
219       5.3848              9.1139              14.5258             
220       7.1585              6.9055              14.0783             
221       5.2192              6.4203              11.6559             
222       7.5309              24.7091             32.2706             
223       19.3559             23.8427             50.4772             
224       17.7654             13.6144             58.5965             
225       27.9633             16.2569             50.3253             
226       15.4187             11.0644             49.0042             
227       13.8744             16.6759             32.2444             
228       8.8928              15.2308             27.7886             
229       8.0203              8.0870              29.9069             
230       8.5342              6.8013              29.2312             
231       6.8586              6.6270              28.9668             
232       5.4711              9.3368              14.8274             
233       7.5450              5.8920              13.4537             
234       5.8292              6.3275              12.1797             
235       5.5891              6.1410              11.7529             
236       5.1152              6.1895              11.3406             
237       5.7516              6.6692              12.4435             
238       8.6978              10.8579             19.5772             
239       18.4463             19.7031             40.1680             
240       31.7852             31.2697             75.0797             
241       17.1027             12.7908             76.4745             
242       8.0325              13.4573             83.3377             
243       10.4391             7.0488              64.1434             
244       8.8440              6.4809              54.9805             
245       7.9531              8.9095              45.5069             
246       8.1759              6.8376              36.7233             
247       7.3964              6.0149              19.8874             
248       6.0036              6.5367              12.5584             
249       5.4284              9.3947              14.8444             
250       6.7450              7.9370              20.2939             
251       6.5363              7.0320              13.5920             
252       7.0153              18.8260             25.8668             
253       14.6367             11.2741             25.9544             
254       13.8332             32.2596             52.1686             
255       12.6752             24.0506             58.7317             
256       25.0922             14.3365             53.6689             
257       14.0284             10.7767             49.0634             
258       10.0591             14.7532             44.3494             
259       10.8192             11.7378             25.9873             
260       7.6234              12.2244             32.6188             
261       7.1272              6.2074              35.0445             
262       7.3424              8.9960              22.2719             
263       7.8917              6.9866              14.8915             
264       5.8799              7.7849              13.6984             
265       11.7284             24.5851             36.3726             
266       13.7456             19.6466             48.0279             
267       11.6927             25.2558             61.7228             
268       10.6154             15.3979             49.9846             
269       14.3473             13.2950             53.7872             
270       10.8264             12.0305             47.8484             
271       8.0749              13.2285             41.0123             
272       12.1500             11.1575             34.3040             
273       10.6592             17.4067             44.8030             
274       8.8749              27.5975             44.3872             
275       14.8369             14.3034             43.3097             
276       11.6493             27.5535             61.6112             
277       15.2081             24.1378             46.9919             
278       9.2294              12.9785             53.9970             
279       9.3433              6.7932              54.5245             
280       10.8150             31.3482             78.9359             
281       9.6230              20.3951             75.0776             
282       12.8238             21.7624             66.8775             
283       13.2138             15.0315             67.0537             
284       17.7242             14.2114             73.7269             
285       13.9140             12.6557             73.2155             
286       12.6169             14.5877             67.3823             
287       14.6048             40.3387             54.9671             
288       7.7168              19.1108             74.2345             
289       12.2723             19.1630             76.2847             
290       14.4056             18.5269             93.0005             
291       21.3369             23.5795             110.1569            
292       13.6380             18.0147             84.1498             
293       11.4089             20.9633             105.1768            
294       12.2817             12.1081             106.8386            
295       14.1242             14.0972             111.9759            
296       12.1875             9.5643              83.2492             
297       9.7083              15.9453             77.6115             
298       14.9682             29.5957             98.0199             
299       13.0055             21.5022             119.2739            
300       9.6645              21.3350             129.0115            
301       15.5923             33.0371             114.2484            
302       9.1984              14.7964             126.6303            
303       13.5694             9.3044              122.1083            
304       11.4535             8.3311              129.5959            
305       10.9596             11.3747             113.9161            
306       9.0238              7.1654              87.9610             
307       9.6290              15.8008             101.1021            
308       14.8329             15.6495             110.0761            
309       11.2853             26.6451             123.0383            
310       15.2726             13.4218             51.2511             
311       11.2225             23.0229             62.6148             
312       12.0893             24.2898             78.7322             
313       11.7124             30.7196             81.3929             
314       10.2788             20.6362             83.9199             
315       11.3202             15.5212             99.5798             
316       17.2337             17.1022             115.5569            
317       17.0104             16.2777             124.2139            
318       17.3961             7.2845              121.4776            
319       13.7488             6.1635              122.0233            
320       14.5983             6.2044              100.6203            
321       11.7812             8.8002              105.0299            
322       7.4051              14.5574             112.4467            
323       7.2980              15.7478             103.0468            
324       8.8873              17.4092             100.8961            
325       8.4840              27.3258             80.8376             
326       7.1845              39.9001             111.1166            
327       8.7432              21.9291             130.4286            
328       14.7446             8.7875              132.2808            
329       12.7668             13.3247             138.5881            
330       18.1190             16.0238             126.3326            
331       21.7805             12.0169             124.4428            
332       17.8503             8.2328              125.3005            
333       14.4106             6.6870              121.1902            
334       9.3450              6.4706              103.0964            
335       7.5940              6.9060              61.6603             
336       6.7533              5.9978              60.0791             
337       8.5289              10.2170             61.8348             
338       7.2096              10.7571             65.4614             
339       6.7044              9.3922              66.6722             
340       7.5318              9.3196              35.6885             
341       8.3431              6.7552              33.4785             
342       8.0594              6.1763              32.5199             
343       8.2481              6.1753              26.0418             
344       5.4517              6.5918              12.0620             
345       5.9695              6.4366              12.4228             
346       5.8260              8.2079              14.0519             
347       6.0775              6.2969              19.8692             
348       6.4513              6.9329              13.4069             
349       6.3613              8.7557              15.1493             
350       5.4864              11.9038             20.1006             
351       6.2951              10.5606             22.4413             
352       8.9382              8.2045              22.8246             
353       6.5227              7.0064              19.7424             
354       6.0048              11.6634             17.6919             
355       5.3198              7.3338              20.0876             
356       7.4138              9.1605              20.9824             
357       7.3253              6.5200              15.1790             
358       6.4242              12.0965             18.5502             
359       6.4404              8.9788              21.4210             
360       7.7771              10.8136             24.3202             
361       7.5046              6.4772              20.4995             
362       8.2113              6.3233              20.8264             
363       5.5520              11.1721             16.7515             
364       6.1271              12.2651             28.4245             
365       7.0563              7.4596              27.4097             
366       8.1219              5.9969              27.1736             
367       5.8893              6.4422              25.9136             
368       5.7969              13.8926             19.7156             
369       6.5408              6.7202              22.5224             
370       6.7648              6.1122              21.8262             
371       6.3767              6.1791              12.5775             
372       5.8536              6.5846              12.4613             
373       6.0480              9.5752              15.6480             
374       6.8244              8.1982              15.0394             
375       5.8479              9.7109              15.5881             
376       6.1404              6.5689              19.1802             
377       5.9505              6.4211              12.3936             
378       5.7356              6.3139              12.0706             
379       5.7766              10.5676             16.3631             
380       7.1600              8.7300              15.9111             
381       6.1351              6.4926              15.6185             
382       5.9293              11.4445             17.3988             
383       12.9598             27.0944             43.7167             
384       22.2142             17.2775             51.0063             
385       14.0327             45.4398             88.4402             
386       14.7371             16.1509             97.2903             
