index   dl_delay_ms   time_diff_ms    duration_ms   total_ms      packet_size  sync_rtt_ms
--------------------------------------------------------------------------------
1       6.70          -60.00          0.26          6.97          5000        8.00      
2       6.32          -60.38          0.27          6.59          5000        8.00      
3       6.10          -60.60          0.35          6.45          5000        8.00      
4       6.66          -60.04          0.36          7.02          5000        8.00      
5       5.14          -61.44          3.53          8.67          5000        7.87      
6       6.02          -60.56          0.30          6.32          5000        7.87      
7       6.19          -60.39          0.46          6.65          5000        7.87      
8       5.55          -61.03          0.26          5.81          5000        7.87      
9       6.28          -60.30          0.23          6.51          5000        7.87      
10      5.68          -61.02          0.11          5.79          5000        7.52      
11      6.18          -60.52          0.30          6.49          5000        7.52      
12      5.30          -61.40          0.32          5.62          5000        7.52      
13      6.00          -60.70          0.15          6.15          5000        7.52      
14      4.81          -61.80          1.40          6.21          5000        7.70      
15      5.63          -60.99          0.35          5.98          5000        7.70      
16      5.77          -60.84          0.31          6.08          5000        7.70      
17      5.25          -61.36          0.28          5.54          5000        7.70      
18      6.32          -60.30          0.31          6.63          5000        7.70      
19      5.26          -61.41          0.35          5.61          5000        7.54      
20      6.53          -60.14          0.36          6.88          5000        7.54      
21      6.02          -60.65          0.31          6.33          5000        7.54      
22      5.11          -61.56          0.15          5.26          5000        7.54      
23      5.38          -61.27          0.28          5.66          5000        7.10      
24      6.43          -60.22          0.38          6.81          5000        7.10      
25      5.50          -61.14          0.09          5.60          5000        7.10      
26      5.91          -60.74          1.05          6.95          5000        7.10      
27      5.70          -60.95          0.99          6.69          5000        7.10      
28      5.24          -61.39          0.05          5.29          5000        6.93      
29      5.29          -61.34          0.17          5.46          5000        6.93      
30      5.46          -61.17          0.17          5.63          5000        6.93      
31      5.47          -61.16          0.17          5.64          5000        6.93      
32      5.48          -61.15          0.28          5.76          5000        6.93      
33      5.48          -61.17          0.32          5.80          5000        7.14      
34      6.54          -60.11          0.22          6.77          5000        7.14      
35      5.11          -61.54          0.32          5.43          5000        7.14      
36      6.60          -60.05          0.33          6.93          5000        7.14      
37      6.39          -60.15          0.29          6.68          5000        7.04      
38      6.06          -60.49          0.27          6.33          5000        7.04      
39      5.04          -61.50          0.35          5.39          5000        7.04      
40      6.12          -60.43          1.17          7.29          5000        7.04      
41      6.65          -59.89          0.28          6.94          5000        7.04      
42      6.14          -60.45          0.30          6.44          5000        6.84      
43      5.21          -61.38          4.12          9.32          5000        6.84      
44      5.49          -61.10          0.31          5.80          5000        6.84      
45      5.00          -61.59          3.21          8.21          5000        6.84      
46      5.88          -60.76          0.33          6.21          5000        7.07      
47      5.89          -60.75          0.25          6.14          5000        7.07      
48      5.33          -61.31          0.30          5.64          5000        7.07      
49      5.09          -61.56          0.19          5.27          5000        7.07      
50      7.04          -59.61          0.26          7.29          5000        7.07      
51      5.97          -60.53          0.36          6.32          5000        7.18      
52      7.70          -58.79          0.34          8.04          5000        7.18      
53      4.84          -61.66          0.40          5.24          5000        7.18      
54      5.49          -61.01          0.28          5.77          5000        7.18      
55      5.53          -61.04          0.32          5.85          5000        6.92      
56      11.26         -55.31          0.33          11.59         5000        6.92      
57      5.86          -60.71          0.32          6.18          5000        6.92      
58      5.33          -61.24          0.32          5.65          5000        6.92      
59      6.42          -59.97          0.25          6.67          5000        7.17      
60      5.55          -60.85          0.32          5.87          5000        7.17      
61      7.58          -58.81          0.16          7.74          5000        7.17      
62      5.95          -60.45          0.32          6.27          5000        7.17      
63      5.55          -60.84          0.33          5.88          5000        7.17      
64      5.46          -60.98          0.38          5.84          5000        7.11      
65      5.33          -61.11          0.39          5.72          5000        7.11      
66      6.20          -60.24          0.33          6.52          5000        7.11      
67      6.25          -60.18          0.29          6.54          5000        7.11      
68      5.56          -61.10          0.30          5.86          5000        6.89      
69      5.45          -61.21          0.30          5.75          5000        6.89      
70      6.80          -59.87          0.22          7.02          5000        6.89      
71      5.82          -60.84          0.17          6.00          5000        6.89      
72      5.75          -60.91          0.33          6.08          5000        6.89      
73      5.96          -60.65          0.31          6.28          5000        7.02      
74      5.77          -60.84          0.29          6.05          5000        7.02      
75      5.68          -60.93          0.14          5.83          5000        7.02      
76      5.37          -61.24          0.34          5.71          5000        7.02      
77      6.10          -60.43          0.16          6.26          5000        6.84      
78      5.26          -61.26          0.41          5.67          5000        6.84      
