Frame        Inference_Time_ms    Objects_Detected
317                      14.98                  24
318                      14.99                  23
319                      14.98                  24
320                      14.98                  22
321                      14.97                  21
322                      15.25                  22
323                      15.26                  22
324                      15.22                  21
325                      15.08                  21
326                      15.13                  21
327                      15.06                  21
328                      15.10                  22
329                      15.09                  22
330                      15.10                  23
331                      15.07                  25
332                      15.15                  24
333                      15.07                  22
334                      15.37                  22
335                      15.33                  23
336                      15.33                  20
337                      15.16                  24
338                      15.15                  22
339                      15.18                  20
340                      15.18                  23
341                      15.22                  18
342                      15.16                  21
343                      15.18                  19
344                      15.16                  14
345                      15.17                  17
346                      15.16                  19
347                      15.25                  21
348                      15.15                  21
349                      15.16                  20
350                      15.16                  21
351                      15.32                  18
352                      15.39                  18
353                      15.48                  18
354                      15.46                  19
355                      15.30                  18
356                      15.27                  18
357                      15.27                  16
358                      15.28                  17
359                      15.27                  19
360                      15.27                  17
361                      15.32                  16
362                      15.29                  17
363                      15.30                  18
364                      15.43                  17
365                      15.59                  16
366                      15.59                  17
367                      15.40                  17
368                      15.39                  16
369                      15.42                  20
370                      15.39                  20
371                      15.40                  19
372                      15.40                  22
373                      15.43                  24
374                      15.42                  24
375                      15.44                  23
376                      15.38                  21
377                      15.41                  20
378                      15.47                  22
379                      15.42                  19
380                      15.41                  20
381                      15.39                  20
382                      16.20                  17
383                      15.75                  19
384                      15.79                  19
385                      15.53                  20
386                      15.49                  19
387                      15.58                  19
388                      15.97                  17
389                      16.01                  20
390                      15.99                  20
391                      15.67                  19
392                      15.62                  20
393                      15.61                  20
394                      15.59                  19
395                      14.27                  19
396                      14.28                  23
397                      14.30                  20
398                      14.19                  19
399                      14.17                  19
400                      14.16                  20
401                      14.29                  20
402                      14.27                  20
403                      14.28                  16
404                      14.27                  19
405                      14.30                  18
406                      14.28                  16
407                      14.26                  17
408                      14.29                  19
409                      14.19                  18
410                      14.18                  17
411                      14.21                  14
412                      14.23                  20
413                      14.23                  16
414                      14.21                  22
415                      14.22                  20
416                      14.21                  19
417                      14.40                  20
418                      14.20                  17
419                      14.23                  19
420                      14.20                  20
421                      14.29                  19
422                      14.33                  18
423                      14.29                  21
424                      14.30                  19
425                      14.33                  15
426                      14.23                  17
427                      14.20                  18
428                      14.21                  18
429                      14.35                  21
430                      14.25                  16
431                      14.26                  21
432                      14.28                  20
433                      14.26                  20
434                      14.27                  22
435                      14.24                  19
436                      14.29                  19
437                      14.23                  19
438                      14.15                  18
439                      14.37                  15
440                      14.33                  18
441                      14.24                  17
442                      14.31                  20
443                      14.27                  21
444                      14.28                  23
445                      14.26                  20
446                      14.35                  20
447                      14.25                  21
448                      14.76                  18
449                      14.73                  20
450                      15.84                  19
451                      15.48                  16
452                      15.41                  17
453                      15.64                  16
454                      15.37                  20
455                      15.43                  18
456                      15.39                  18
457                      15.46                  19
458                      15.36                  18
459                      15.39                  20
460                      15.34                  19
461                      14.23                  20
462                      14.16                  19
463                      14.10                  24
464                      14.07                  23
465                      14.01                  24
466                      13.96                  22
467                      14.34                  25
468                      14.12                  21
469                      14.56                  26
470                      14.14                  22
471                      14.16                  23
472                      14.20                  22
473                      14.09                  25
474                      14.20                  23
475                      14.18                  23
476                      14.18                  26
477                      14.13                  21
478                      14.34                  24
479                      14.10                  23
480                      14.12                  24
481                      14.34                  21
482                      14.23                  21
483                      14.14                  26
484                      14.09                  21
485                      14.03                  24
486                      14.02                  20
487                      14.23                  24
488                      14.11                  19
489                      14.39                  20
490                      14.21                  21
491                      14.09                  23
492                      14.12                  21
493                      14.09                  22
494                      14.06                  21
495                      14.20                  17
496                      14.46                  19
497                      14.46                  19
498                      14.33                  19
499                      14.13                  19
500                      14.73                  20
501                      14.07                  20
502                      14.07                  20
503                      14.41                  17
504                      14.60                  18
505                      14.17                  19
506                      14.09                  18
507                      14.27                  18
508                      14.16                  17
509                      14.36                  18
510                      14.25                  17
511                      14.11                  22
512                      14.10                  20
513                      14.25                  20
514                      14.16                  21
515                      15.20                  21
516                      15.24                  21
517                      15.24                  23
518                      15.13                  21
519                      15.17                  19
520                      15.15                  23
521                      15.28                  19
522                      15.28                  19
523                      15.31                  22
524                      15.08                  20
525                      15.14                  20
526                      15.10                  21
527                      15.14                  18
528                      15.08                  19
529                      15.20                  19
530                      15.14                  19
531                      15.14                  20
532                      15.52                  21
533                      15.52                  20
534                      15.50                  19
535                      15.51                  20
536                      15.33                  20
537                      15.31                  19
538                      15.29                  19
539                      14.50                  18
540                      14.47                  17
541                      14.47                  17
542                      14.36                  18
543                      14.39                  22
544                      14.39                  19
545                      14.36                  20
546                      14.36                  18
547                      14.44                  21
548                      14.34                  21
549                      14.37                  22
550                      14.38                  25
551                      14.41                  17
552                      14.35                  17
553                      14.37                  18
554                      14.49                  16
555                      14.49                  16
556                      14.50                  18
557                      14.34                  18
558                      14.58                  17
559                      14.51                  18
560                      14.50                  17
561                      14.47                  16
562                      14.52                  16
563                      14.48                  16
564                      14.42                  15
565                      14.39                  15
566                      15.98                  16
567                      14.36                  16
568                      14.38                  17
569                      14.39                  18
570                      14.39                  18
571                      14.37                  20
572                      14.44                  19
573                      14.43                  19
574                      14.33                  17
575                      14.59                  18
576                      14.36                  19
577                      14.37                  17
578                      14.38                  18
579                      14.37                  17
580                      14.37                  17
581                      14.33                  17
582                      14.37                  15
583                      14.36                  15
584                      14.37                  17
585                      14.35                  19
586                      14.38                  18
587                      14.38                  17
588                      14.37                  16
589                      14.34                  15
590                      14.35                  16
591                      14.37                  15
592                      14.39                  16
593                      14.53                  16
594                      15.00                  17
595                      14.97                  17
596                      14.98                  17
597                      14.86                  16
598                      14.81                  16
599                      15.03                  16
600                      15.05                  16
601                      15.10                  15
602                      15.05                  17
603                      14.95                  16
604                      14.86                  16
605                      14.90                  17
606                      14.49                  16
607                      14.45                  15
608                      14.47                  16
609                      14.34                  15
610                      14.34                  16
611                      14.33                  17
612                      14.42                  17
613                      14.37                  18
614                      14.49                  18
615                      14.63                  16
616                      14.48                  17
617                      14.39                  17
618                      14.26                  18
619                      14.88                  18
620                      14.63                  18
621                      14.85                  19
622                      14.81                  19
623                      14.79                  18
624                      14.68                  21
625                      14.69                  19
626                      14.67                  20
627                      14.62                  21
628                      14.74                  21
629                      14.62                  20
630                      14.63                  19
631                      14.62                  19
632                      14.63                  17
633                      14.52                  18
634                      14.51                  17
635                      14.67                  14
636                      14.69                  15
637                      14.64                  16
638                      14.61                  17
639                      14.61                  16
640                      14.64                  18
641                      14.60                  17
642                      14.61                  16
643                      14.63                  18
644                      14.69                  18
645                      14.65                  18
646                      14.60                  16
647                      14.57                  18
648                      14.62                  18
649                      14.61                  18
650                      14.61                  21
651                      14.61                  22
652                      14.52                  21
653                      14.49                  21
654                      14.60                  21
655                      14.64                  20
656                      14.80                  18
657                      14.60                  17
658                      14.62                  18
659                      14.59                  19
660                      14.63                  19
661                      14.52                  19
662                      14.48                  22
663                      14.52                  20
664                      14.49                  21
665                      14.58                  19
666                      14.58                  20
667                      14.61                  20
668                      14.67                  21
669                      14.60                  21
670                      14.68                  20
671                      14.59                  20
672                      14.62                  19
673                      14.91                  20
674                      14.61                  21
675                      14.67                  21
676                      14.59                  20
677                      14.59                  18
678                      14.58                  19
679                      14.52                  22
680                      14.52                  22
681                      14.79                  22
682                      14.51                  22
683                      14.70                  21
684                      14.98                  21
685                      15.18                  22
686                      14.98                  21
687                      15.05                  20
688                      14.97                  19
689                      15.12                  21
690                      15.17                  19
691                      15.22                  19
692                      15.18                  17
693                      15.14                  19
694                      15.47                  19
695                      15.21                  19
696                      14.85                  18
697                      14.80                  19
698                      14.89                  18
699                      14.94                  19
700                      14.79                  20
701                      14.78                  21
702                      14.81                  21
703                      14.75                  20
704                      14.74                  20
705                      14.73                  22
706                      14.98                  19
707                      14.36                  23
708                      14.49                  24
709                      14.40                  23
710                      14.43                  22
711                      14.36                  22
712                      14.33                  23
713                      14.29                  22
714                      14.43                  25
715                      14.42                  24
716                      14.41                  23
717                      14.57                  22
718                      14.32                  19
719                      14.42                  22
720                      14.39                  22
721                      14.42                  23
722                      14.70                  24
723                      14.71                  25
724                      14.69                  23
725                      14.68                  26
726                      14.88                  22
727                      14.81                  25
728                      14.86                  24
729                      14.81                  23
730                      14.82                  26
731                      14.76                  24
732                      14.70                  18
733                      14.83                  18
734                      14.81                  21
735                      14.80                  24
736                      14.72                  21
737                      14.70                  18
738                      14.78                  21
739                      14.70                  19
740                      14.67                  19
741                      14.72                  20
742                      14.70                  19
743                      14.78                  20
744                      14.80                  19
745                      14.80                  16
746                      14.68                  19
747                      14.68                  17
748                      14.70                  19
749                      14.69                  24
750                      15.15                  23
751                      15.06                  22
752                      15.05                  21
753                      14.91                  20
754                      14.88                  22
755                      14.91                  20
756                      14.88                  20
757                      14.90                  20
758                      14.85                  15
759                      14.86                  19
760                      14.93                  17
761                      14.89                  18
762                      15.12                  17
763                      15.30                  20
764                      15.13                  20
765                      15.03                  21
766                      14.98                  23
767                      15.01                  22
768                      14.99                  21
769                      14.99                  17
770                      14.98                  20
771                      15.01                  17
772                      14.98                  19
773                      15.00                  16
774                      15.16                  18
775                      15.24                  15
776                      15.27                  19
777                      15.16                  19
778                      15.05                  19
779                      15.10                  21
780                      15.34                  20
781                      15.37                  18
782                      15.34                  18
783                      15.22                  20
784                      15.17                  20
785                      15.21                  19
786                      15.20                  17
787                      15.14                  19
788                      15.17                  19
789                      15.21                  19
790                      15.15                  20
791                      15.20                  19
792                      15.14                  16
793                      14.93                  17
794                      14.96                  17
795                      14.84                  17
796                      14.80                  19
797                      14.77                  17
798                      14.97                  18
799                      14.78                  15
800                      14.77                  18
801                      14.79                  18
802                      14.79                  18
803                      14.77                  21
804                      14.78                  19
805                      14.79                  20
806                      14.79                  20
807                      14.79                  18
808                      14.78                  19
809                      14.80                  18
810                      14.76                  19
811                      14.66                  20
812                      14.66                  17
813                      14.51                  16
814                      14.49                  19
815                      14.52                  17
816                      14.51                  21
817                      14.52                  22
818                      14.49                  22
819                      14.49                  21
820                      14.49                  20
821                      14.52                  22
822                      14.49                  26
823                      14.27                  23
824                      14.26                  23
825                      14.21                  24
826                      14.14                  24
827                      14.17                  23
828                      14.16                  21
829                      14.17                  21
830                      14.24                  22
831                      14.55                  22
832                      14.27                  20
833                      14.27                  19
834                      14.24                  16
835                      14.28                  19
836                      14.29                  20
837                      14.29                  21
838                      14.26                  19
839                      14.33                  19
840                      14.36                  18
841                      14.25                  18
842                      14.26                  18
843                      14.27                  17
844                      14.24                  17
845                      14.22                  19
846                      14.57                  20
847                      14.38                  18
848                      14.25                  19
849                      14.32                  23
850                      14.26                  21
851                      14.27                  20
852                      14.27                  19
853                      14.36                  17
854                      14.32                  17
855                      14.25                  16
856                      14.27                  19
857                      14.15                  19
858                      14.39                  21
859                      14.24                  23
860                      14.28                  23
861                      14.25                  22
862                      14.25                  22
863                      14.30                  22
864                      14.30                  22
865                      14.25                  22
866                      14.72                  23
867                      14.29                  21
868                      14.34                  22
869                      14.30                  20
870                      14.14                  20
871                      14.39                  21
872                      14.60                  19
873                      14.38                  22
874                      14.28                  22
875                      14.26                  20
876                      14.31                  22
877                      14.29                  24
878                      14.24                  21
879                      14.49                  23
880                      14.39                  23
881                      14.41                  24
882                      14.34                  22
883                      14.81                  23
884                      14.38                  23
885                      14.38                  21
886                      14.37                  20
887                      14.27                  21
888                      14.29                  19
889                      14.27                  21
890                      14.30                  21
891                      14.27                  21
892                      14.27                  20
893                      14.48                  21
894                      14.37                  21
895                      14.37                  22
896                      14.39                  20
897                      14.27                  21
898                      14.30                  20
899                      14.27                  18
900                      14.29                  21
901                      14.28                  22
902                      14.30                  20
903                      14.29                  19
904                      14.26                  18
905                      14.49                  19
906                      14.23                  20
907                      14.46                  19
908                      14.36                  22
909                      14.39                  20
910                      14.40                  21
911                      14.30                  22
912                      14.28                  22
913                      14.28                  22
914                      14.27                  23
915                      14.25                  22
916                      14.42                  22
917                      14.36                  23
918                      14.39                  20
919                      14.30                  18
920                      14.28                  16
921                      14.26                  16
922                      14.26                  16
923                      14.28                  17
924                      14.27                  17
925                      15.26                  18
926                      15.20                  20
927                      15.33                  19
928                      15.04                  19
929                      15.10                  21
930                      15.08                  23
931                      15.07                  21
932                      15.06                  20
933                      15.12                  22
934                      15.04                  20
935                      15.08                  21
936                      15.08                  19
937                      15.35                  17
938                      15.34                  21
939                      15.32                  19
940                      15.21                  20
941                      15.22                  17
942                      15.15                  19
943                      15.18                  17
944                      15.17                  15
945                      15.18                  13
946                      15.16                  13
947                      15.17                  12
948                      15.16                  12
949                      15.45                  12
950                      15.45                  16
951                      15.70                  16
952                      15.31                  13
953                      15.29                  13
954                      15.26                  11
955                      15.31                  13
956                      15.24                  12
957                      15.28                  13
958                      15.25                  11
959                      15.27                  11
960                      15.28                  13
961                      15.26                  12
962                      15.25                  13
963                      15.28                  14
964                      15.28                  12
965                      15.28                  13
966                      15.30                  15
967                      15.61                  14
968                      15.64                  13
969                      15.57                  12
970                      15.39                  13
971                      15.37                  13
972                      15.39                  14
973                      15.41                  12
974                      15.38                  14
975                      15.39                  15
976                      15.68                  15
977                      15.41                  15
978                      15.38                  13
979                      15.37                  14
980                      15.41                  12
981                      15.44                  12
982                      15.38                  12
983                      15.39                  13
984                      15.42                  14
985                      15.36                  13
986                      15.28                  13
987                      15.20                  14
988                      15.21                  14
989                      15.14                  13
990                      15.05                  12
991                      15.06                  12
992                      15.07                  13
993                      15.06                  13
994                      15.14                  13
995                      15.04                  14
996                      15.12                  14
997                      15.44                  12
998                      15.04                  13
999                      15.08                  14
1000                     15.12                  17
1001                     15.10                  15
1002                     15.04                  15
1003                     15.45                  15
